Sample_ID,Date of collection,Date of Eclosion,Date of Death,Life_span,Box,Sex,Phenotype,Juv_Right_Forewing_length,Juv_Right_Hindwing_length,Pro_Juv1,Pro_Juv2,Pro_Juv3,Weight_Adu,Pro_Adu1,Pro_Adu2,Pro_Adu3,Adult_Top or Left_Forewing_length,Adult_Right_Forewing_length,
P152_NW4,01-May,08-May,27-Aug,111,152,M,Lw,3.99,5.89,3.80,3.81,3.76,0.501,3.73,3.70,3.71,12.30,,
P152_NW5,01-May,11-May,10-Aug,91,152,M,Lw,3.96,6.34,3.86,3.93,3.84,0.594,3.87,3.85,3.94,13.69,,
P152_NW6,01-May,11-May,08-Jul,58,152,M,Lw,4.06,6.17,3.99,4.03,4.02,0.605,3.92,3.92,3.95,14.66,,
P152_NW7,01-May,13-May,03-Aug,82,152,M,Lw,4.02,6.00,3.81,3.81,3.81,0.565,3.96,4.03,4.00,13.88,,
P152_NW8,01-May,11-May,23-Aug,104,152,M,Lw,3.75,6.04,4.04,3.93,4.01,0.669,4.15,4.09,4.10,13.35,,
P152_NW9,01-May,08-May,04-Sep,119,152,M,Lw,3.91,6.30,4.08,3.90,3.92,0.586,3.92,3.86,3.93,13.37,,
P152_NW_F1,01-May,10-May,15-May,5,152,F,Lw,3.69,5.80,3.79,3.73,3.77,0.517,3.81,3.88,3.77,13.23,,
P152_NW_F2,01-May,12-May,28-Jul,77,152,F,Lw,3.35,5.61,3.75,3.69,3.77,0.493,3.75,3.79,3.81,12.43,,
P152_NW_F3,01-May,11-May,20-Jul,70,152,F,Lw,3.96,5.82,3.82,3.88,3.86,0.564,3.93,4.00,3.96,12.70,,
P152_NW_F4,01-May,12-May,22-Jun,41,152,F,Lw,3.50,5.62,3.70,3.71,3.76,0.438,3.70,3.64,3.69,11.80,,
P152_NW_F5,01-May,05-May,03-Aug,90,152,F,Lw,3.49,5.62,3.47,3.48,3.56,0.452,3.63,3.72,3.69,12.18,,
P152_NW_F6,01-May,12-May,06-Aug,86,152,F,Lw,3.44,5.41,3.55,3.57,3.62,0.478,3.70,3.71,3.76,11.64,,
P152_NW_F7,01-May,07-May,09-Aug,94,152,F,Lw,3.52,5.36,3.46,3.53,3.43,0.411,3.72,3.66,3.64,11.43,,
P145_NW5,08-May,09-May,21-Jun,43,145,M,Lw,4.69,6.10,3.70,3.65,3.74,0.621,3.91,4.01,4.03,13.39,,
P145_NW_F14,08-May,21-May,07-Aug,78,145,F,Lw,3.39,5.79,3.77,3.73,3.77,0.538,3.92,3.89,3.87,12.89,,
P149_SW28,08-May,21-May,25-Aug,96,149,M,Sw,2.70,4.93,4.30,4.28,4.24,0.705,4.35,4.28,4.21,10.83,9.48,
P136_SW22,08-May,21-May,27-Jun,37,136,M,Sw,2.06,4.42,3.80,3.78,3.85,0.539,3.84,3.83,3.79,9.35,9.79,
P136_SW23,08-May,17-May,21-Aug,96,136,M,Sw,2.63,4.57,3.63,3.63,3.69,0.505,3.73,3.71,3.69,9.50,9.50,
P136_SW_F26,08-May,19-May,23-Aug,96,136,F,Sw,2.48,4.55,3.69,3.66,3.68,0.550,3.74,3.76,3.79,7.06,9.30,
P136_SW_F27,08-May,19-May,17-Aug,90,136,F,Sw,2.29,4.62,3.67,3.63,3.68,0.526,4.00,3.99,3.97,8.47,,
P143_SW10,08-May,18-May,13-Aug,87,143,M,Sw,2.42,4.57,3.68,3.66,3.74,0.475,3.82,3.79,3.77,9.69,9.69,
P143_SW_F9,08-May,17-May,10-Jul,54,143,F,Sw,2.29,4.40,3.27,3.30,3.35,0.387,3.46,3.51,3.47,8.52,8.25,
P152_NW10,10-May,17-May,13-Aug,88,152,M,Lw,3.89,6.11,3.77,3.70,3.71,0.560,3.99,3.89,3.90,13.35,,
P152_NW11,10-May,22-May,30-Aug,100,152,M,Lw,3.56,5.37,3.42,3.50,3.42,0.428,3.51,3.52,3.49,12.78,,
P152_NW12,10-May,18-May,06-Aug,80,152,M,Lw,3.98,6.01,3.84,3.76,3.80,0.516,3.89,3.90,3.95,13.12,,
P152_NW13,10-May,14-May,29-Jul,76,152,M,Lw,3.80,5.80,3.86,3.88,3.85,0.556,3.90,3.96,3.91,13.29,,
P152_NW14,10-May,21-May,31-Aug,102,152,M,Lw,3.57,5.60,3.80,3.73,3.74,0.506,3.74,3.78,3.79,12.25,,
P152_NW15,10-May,15-May,04-Sep,112,152,M,Lw,4.05,6.06,3.81,3.86,3.74,0.594,3.90,3.86,3.91,14.18,,
P152_NW16,10-May,19-May,02-Sep,106,152,M,Lw,3.79,5.60,3.66,3.70,3.72,0.487,3.82,3.72,3.73,13.50,,
P152_NW17,10-May,15-May,06-Sep,114,152,M,Lw,4.07,6.11,3.91,3.93,3.96,0.611,3.94,3.89,4.02,13.96,,
P152_NW18,10-May,17-May,25-Jun,39,152,M,Lw,3.32,6.01,3.56,3.61,3.61,0.495,3.89,3.94,3.89,13.13,,
P152_NW19,10-May,15-May,27-Aug,104,152,M,Lw,3.97,5.98,3.91,3.90,3.91,0.648,4.10,4.04,4.05,13.48,,
P152_NW_F8,10-May,13-May,07-Jul,55,152,F,Lw,3.53,5.85,3.64,3.72,3.64,0.496,3.74,3.81,3.74,12.09,,
P152_NW_F9,10-May,21-May,18-Aug,89,152,F,Lw,3.22,5.55,3.57,3.62,3.64,0.488,3.74,3.80,3.83,11.94,,
P152_NW_F10,10-May,14-May,12-Aug,90,152,F,Lw,3.43,5.40,3.40,3.39,3.41,0.401,3.57,3.46,3.52,11.70,,
P152_NW_F11,10-May,11-May,07-Aug,88,152,F,Lw,3.77,5.37,3.49,3.54,3.53,0.433,3.61,3.67,3.65,11.86,,
P152_NW_F12,10-May,12-May,16-Jul,65,152,F,Lw,3.48,5.27,3.48,3.53,3.52,0.440,3.67,3.66,3.69,11.67,,
P152_NW_F13,10-May,17-May,30-Aug,105,152,F,Lw,3.35,5.58,3.44,3.42,3.41,0.422,3.72,3.64,3.62,11.36,,
P152_NW_F14,10-May,11-May,24-Jul,74,152,F,Lw,3.77,6.08,3.73,3.76,3.70,0.515,3.89,3.83,3.90,12.57,,
P152_NW_F15,10-May,16-May,23-Aug,99,152,F,Lw,3.52,5.71,3.65,3.67,3.72,0.476,3.79,3.86,3.73,12.74,,
P152_NW_F16,10-May,23-May,16-Aug,85,152,F,Lw,3.37,5.39,3.34,3.41,3.39,0.454,3.59,3.64,3.70,11.69,,
P152_NW_F17,10-May,14-May,16-Jul,63,152,F,Lw,3.63,5.89,3.69,3.72,3.65,0.534,3.93,3.88,3.90,11.95,,
P152_NW_F18,10-May,20-May,16-Aug,88,152,F,Lw,3.41,5.41,3.54,3.51,3.48,0.437,3.74,3.75,3.77,11.98,,
P145_NW6,14-May,25-May,17-Aug,84,145,M,Lw,3.66,6.16,3.79,3.76,3.79,0.560,3.69,3.70,3.69,13.19,,
P145_NW_F15,14-May,23-May,16-Jul,54,145,F,Lw,3.22,5.62,3.62,3.62,3.61,0.427,3.59,3.65,3.65,12.44,,
P143_SW_F10,14-May,27-May,12-Sep,108,143,F,Sw,2.15,4.34,3.66,3.63,3.66,0.496,3.89,3.82,3.76,8.73,8.73,
P143_SW_F11,14-May,24-May,16-Aug,84,143,F,Sw,2.30,4.70,3.84,3.84,3.82,0.493,4.02,3.91,3.89,9.31,9.11,
P143_SW_F12,14-May,24-May,27-Aug,95,143,F,Sw,2.47,4.31,3.87,3.81,3.86,0.511,3.94,3.96,3.96,9.01,9.01,
P136_SW24,14-May,18-May,13-Aug,87,136,M,Sw,2.76,4.91,4.24,4.27,4.26,0.686,4.27,4.29,4.28,10.69,10.44,
P136_SW25,14-May,17-May,11-Sep,117,136,M,Sw,2.93,4.60,3.98,3.96,3.96,0.555,4.16,4.08,4.15,9.32,9.59,
P136_SW26,14-May,18-May,01-Sep,106,136,M,Sw,2.55,4.30,3.94,3.88,3.87,0.572,4.00,3.94,3.98,9.61,9.62,
P143_SW_F13,23-May,31-May,05-Aug,66,143,F,Sw,2.39,4.64,3.85,3.93,3.92,0.577,3.96,3.96,3.96,8.83,8.78,
P143_SW_F14,23-May,01-Jun,12-Aug,72,143,F,Sw,2.77,4.90,3.85,3.96,3.88,0.533,4.05,3.98,4.04,9.48,9.32,
P143_SW_F15,23-May,26-May,03-Sep,100,143,F,Sw,2.84,4.89,3.92,3.85,3.85,0.567,4.17,4.07,4.04,9.28,9.02,
