Sample_ID,Date of collection,Date of Eclosion,Date of Death,Life_span,Box,Sex,Phenotype,Juv_Right_Forewing_length,Juv_Right_Hindwing_length,Pro_Juv1,Pro_Juv2,Pro_Juv3,Weight_Adu,Pro_Adu1,Pro_Adu2,Pro_Adu3,Adult_Top or Left_Forewing_length,Adult_Right_Forewing_length,
P136_SW2,06-Apr,13-Apr,06-Aug,115,136,M,Sw,2.82,4.81,3.72,3.74,3.81,0.527,3.94,3.95,3.89,7.03,8.96,
P136_SW3,06-Apr,10-Apr,12-Jun,63,136,M,Sw,2.60(L),4.97(R),3.81,3.82,3.86,0.523,3.79,3.87,3.82,8.80,,
P136_SW4,06-Apr,12-Apr,22-Jul,101,136,M,Sw,2.76,4.94,3.83,3.92,3.93,0.584,3.94,4.01,3.99,9.86,9.77,
P136_SW5,06-Apr,12-Apr,14-Aug,124,136,M,Sw,2.69,4.66,3.88,3.87,3.93,0.616,4.03,4.01,3.92,10.09,9.84,
P136_SW6,06-Apr,11-Apr,24-May,43,136,M,Sw,2.46,4.44,3.90,3.93,3.95,0.554,3.98,4.03,4.00,8.98,9.53,
P136_SW7,06-Apr,14-Apr,17-Apr,3,136,M,Sw,2.80,4.92,3.67,3.65,3.66,0.540,3.76,3.85,3.84,9.32,9.41,
P136_SW8,06-Apr,14-Apr,23-Aug,131,136,M,Sw,2.73,4.46,3.64,3.61,3.59,0.502,3.87,3.87,3.92,7.70,9.40,
P136_SW9,06-Apr,10-Apr,09-Aug,121,136,M,Sw,2.74,4.85,3.95,3.88,3.91,0.602,4.02,4.10,4.08,9.76,9.55,
P136_SW10,06-Apr,13-Apr,27-Jul,105,136,M,Sw,2.49,4.71,3.85,3.88,3.84,0.574,3.99,3.95,4.00,9.69,9.49,
P136_SW_F1,06-Apr,13-Apr,30-Jun,108,136,F,Sw,2.50,4.20,3.28,3.24,3.30,0.439,3.48,3.44,3.50,8.29,8.04,
P136_SW_F2,06-Apr,08-Apr,03-Jul,86,136,F,Sw,2.97,4.96,3.63,3.64,3.62,0.439,3.63,3.76,3.70,8.40,,
P136_SW_F3,06-Apr,10-Apr,04-Jul,85,136,F,Sw,2.48,4.65,3.57,3.60,3.62,0.463,3.87,3.75,3.77,8.65,8.49,
P136_SW_F4,06-Apr,10-Apr,10-Jul,91,136,F,Sw,2.48,4.87,3.24,3.26,3.29,0.446,3.68,3.73,3.73,8.45,8.35,
P136_SW_F5,06-Apr,10-Apr,19-Jun,70,136,F,Sw,2.85,5.05,3.71,3.74,3.71,0.515,3.82,3.94,3.86,8.91,9.24,
P136_SW_F6,06-Apr,11-Apr,19-Jul,99,136,F,Sw,2.50,4.72,3.56,3.64,3.60,0.458,3.67,3.78,3.74,7.82,7.90,
P136_SW_F7,06-Apr,07-Apr,27-Jun,81,136,F,Sw,2.50,4.79,3.61,3.61,3.59,0.543,3.81,3.76,3.85,7.89,7.51,
P136_SW_F8,06-Apr,10-Apr,03-Jul,84,136,F,Sw,2.52,4.84,3.82,3.70,3.73,0.514,3.83,3.83,3.80,9.08,8.96,
P136_SW_F9,06-Apr,07-Apr,07-Jul,91,136,F,Sw,2.55,4.67,3.15,3.14,3.12,0.420,3.48,3.50,3.49,6.15,8.74,
P136_SW11,14-Apr,19-Apr,17-Aug,120,136,M,Sw,3.08,4.69,4.04,3.96,3.93,0.607,4.06,4.04,4.02,9.72,9.75,
P136_SW12,14-Apr,22-Apr,10-Aug,110,136,M,Sw,2.47,4.46,3.83,3.81,3.78,0.591,3.93,3.95,3.90,9.59,8.73,
P136_SW13,14-Apr,26-Apr,16-Aug,112,136,M,Sw,2.61,4.34,3.74,3.75,3.76,0.539,3.77,3.79,3.75,9.42,9.25,
P136_SW14,14-Apr,23-Apr,04-Aug,103,136,M,Sw,2.52,4.60,4.01,3.92,3.97,0.589,3.99,3.97,3.96,9.50,9.15,
P136_SW15,14-Apr,23-Apr,21-Aug,120,136,M,Sw,2.44,4.67,3.90,3.90,3.87,0.564,4.03,3.91,3.88,,9.29,
P136_SW_F10,14-Apr,19-Apr,11-Jul,83,136,F,Sw,2.53,4.44,3.73,3.73,3.83,0.538,3.93,3.91,3.92,9.21,9.38,
P136_SW_F11,14-Apr,19-Apr,16-Jul,88,136,F,Sw,2.34,4.59,3.66,3.66,3.74,0.526,3.88,3.84,4.00,9.43,8.19,
P136_SW_F12,14-Apr,23-Apr,07-May,14,136,F,Sw,2.39,4.68,3.78,3.78,3.82,0.559,3.89,3.89,3.99,7.67,6.98,
P136_SW_F13,14-Apr,27-Apr,03-Jul,67,136,F,Sw,2.22,4.50,3.42,3.46,3.43,0.498,3.62,3.63,3.62,8.19,8.72,
P136_SW_F14,14-Apr,23-Apr,25-Jul,93,136,F,Sw,1.91,4.48,3.64,3.63,3.66,0.469,3.65,3.70,3.58,8.31,7.69,
P136_SW_F15,14-Apr,18-Apr,16-Jul,89,136,F,Sw,2.50,4.73,3.61,3.68,3.63,0.553,3.87,3.98,3.97,9.03,8.88,
P136_SW_F16,14-Apr,20-Apr,01-Jun,42,136,F,Sw,2.37,4.25,3.51,3.47,3.52,0.505,3.80,3.68,3.82,8.00,8.18,
P136_SW_F17,14-Apr,19-Apr,30-May,41,136,F,Sw,2.62,4.48,3.71,3.71,3.75,0.526,3.67,3.79,3.72,9.59,9.81,
P145_NW2,14-Apr,25-Apr,15-Aug,112,145,M,Lw,3.07,5.56,3.85,3.76,3.88,0.549,3.84,3.88,3.81,13.03,,
P145_NW3,14-Apr,27-Apr,08-Jul,72,145,M,Lw,3.52,5.48,3.60,3.65,3.68,0.570,3.67,3.64,3.68,13.70,,
P145_NW_F3,14-Apr,20-Apr,24-Jun,65,145,F,Lw,3.81,5.56,3.85,3.90,3.77,0.547,3.98,3.94,3.93,12.02,,
P145_NW_F4,14-Apr,22-Apr,22-Jul,91,145,F,Lw,3.60,5.76,3.85,3.78,3.85,0.598,4.18,4.25,4.05,13.09,,
P145_NW_F5,14-Apr,24-Apr,22-Jul,89,145,F,Lw,3.24,5.97,3.74,3.72,3.67,0.523,3.77,3.84,3.82,12.63,,
P145_Nw_F6,14-Apr,22-Apr,25-Jul,94,145,F,Lw,3.24,L:5.50,3.79,3.74,3.85,0.495,3.84,3.86,3.81,12.93,,
P145_NW_F7,14-Apr,24-Apr,15-Aug,113,145,F,Lw,3.24,6.04,3.83,3.73,3.85,0.539,3.81,3.85,3.86,12.97,,
P145_NW_F8,14-Apr,25-Apr,14-Aug,111,145,F,Lw,3.27,5.87,3.76,3.71,3.73,0.557,3.73,3.72,3.88,12.72,,
P146_NW_F5,17-Apr,23-Apr,15-Jul,83,146,F,Lw,3.49,5.71,3.56,3.50,3.54,0.440,3.64,3.63,3.58,11.81,,
P146_NW_F6,17-Apr,23-Apr,13-Jun,51,146,F,Lw,3.61,5.79,3.62,3.71,3.67,0.460,3.85,3.92,3.83,12.47,,
P146_NW_F7,17-Apr,18-Apr,25-Jun,68,146,F,Lw,3.94,6.20,3.52,3.57,3.61,0.469,3.73,3.65,3.66,12.39,,
P146_NW_F8,17-Apr,23-Apr,22-Jun,60,146,F,Lw,3.86,5.74,3.28,3.27,3.28,0.470,3.55,3.52,3.46,12.64,,
P146_NW_F9,17-Apr,19-Apr,28-Jul,100,146,F,Lw,3.70,6.18,3.56,3.64,3.60,0.478,3.66,3.64,3.61,12.71,,
P146_NW_F10,17-Apr,30-Apr,05-Jul,66,146,F,Lw,3.27,5.29,3.12,3.12,3.14,0.404,3.45,3.40,3.34,12.11,,
P146_NW_F11,17-Apr,21-Apr,20-Jul,90,146,F,Lw,3.97,6.16,3.76,3.64,3.60,0.492,3.77,3.68,3.71,12.31,,
P146_NW_F12,17-Apr,28-Apr,13-Jul,76,146,F,Lw,3.10,5.43,3.36,3.40,3.40,0.430,3.42,3.40,3.49,12.06,,
P146_NW_F13,17-Apr,19-Apr,06-Jul,78,146,F,Lw,3.88,5.76,3.57,3.65,3.57,0.461,3.64,3.70,3.76,12.24,,
P146_NW_F14,17-Apr,29-Apr,Jun-03,35,146,F,Lw,3.30,5.49,3.33,3.39,3.40,0.452,3.64,3.54,3.55,12.13,,
P146_NW_F15,17-Apr,29-Apr,08-Jul,70,146,F,Lw,3.11,5.45,3.16,3.16,3.12,0.422,3.19,3.28,3.26,12.50,,
P146_NW_F16,17-Apr,18-Apr,29-Jul,102,146,F,Lw,3.76,6.00,3.47,3.55,3.58,0.508,3.78,3.81,3.77,12.64,,
P146_NW_F17,17-Apr,25-Apr,14-Jul,80,146,F,Lw,3.18,5.82,3.32,3.23,3.26,0.401,3.31,3.35,3.39,11.63,,
P146_NW_F18,17-Apr,20-Apr,19-Jun,60,146,F,Lw,3.92,5.74,3.49,3.40,3.42,0.467,3.57,3.51,3.57,12.19,,
P146_NW_F19,17-Apr,27-Apr,15-Jul,79,146,F,Lw,2.91,5.35,3.42,3.31,3.39,0.439,3.50,3.50,3.44,12.07,,
P146_NW_F20,17-Apr,26-Apr,11-Jul,76,146,F,Lw,3.51,5.87,3.59,3.55,3.64,0.466,3.65,3.54,3.59,12.59,,
P146_NW_F21,17-Apr,26-Apr,13-Jun,48,146,F,Lw,3.43,5.79,3.45,3.53,3.52,0.439,3.65,3.58,3.59,12.42,,
P146_NW5,17-Apr,22-Apr,03-Aug,103,146,M,Lw,3.98,5.81,3.45,3.42,3.48,0.524,3.56,3.55,3.64,13.42,,
P146_NW6,17-Apr,23-Apr,17-Jul,85,146,M,Lw,3.63,5.60,3.44,3.47,3.44,0.498,3.69,3.71,3.63,12.45,,
P146_NW7,17-Apr,20-Apr,17-Jul,88,146,M,Lw,3.80,5.89,3.67,3.82,3.77,0.531,3.77,3.84,3.85,13.03,,
P146_NW8,17-Apr,18-Apr,21-Jul,94,146,M,Lw,3.94,6.30,3.94,3.99,3.96,0.573,4.09,4.04,3.95,13.04,,
P146_NW9,17-Apr,25-Apr,25-Jun,51,146,M,Lw,3.59,5.68,3.60,3.63,3.67,0.497,3.83,3.74,3.69,12.96,,
P146_NW10,17-Apr,21-Apr,12-Jul,82,146,M,Lw,3.98,5.95,4.04,4.00,3.97,0.583,3.92,3.99,3.93,13.04,,
P146_NW11,17-Apr,20-Apr,26-Jul,97,146,M,Lw,3.77,5.66,3.53,3.55,3.57,0.479,3.67,3.72,3.76,11.95,,
P146_NW12,17-Apr,18-Apr,08-Aug,112,146,M,Lw,3.99,6.25,4.01,4.02,3.98,0.617,4.07,4.11,4.11,13.57,,
P146_NW13,17-Apr,21-Apr,25-Jun,65,146,M,Lw,3.69,5.73,3.72,3.74,3.77,0.523,3.80,3.75,3.81,12.69,,
P146_NW14,17-Apr,25-Apr,16-Jul,82,146,M,Lw,4.00,6.01,3.40,3.40,3.42,0.510,3.37,3.46,3.45,13.30,,
P146_NW15,17-Apr,22-Apr,05-Jul,74,146,M,Lw,4.24,5.77,3.72,3.66,3.67,0.521,3.95,3.91,3.90,13.35,,
P146_NW16,17-Apr,29-Apr,19-Aug,112,146,M,Lw,3.03,5.41,3.75,3.70,3.68,0.501,3.85,3.84,3.74,12.69,,
P146_NW17,17-Apr,19-Apr,21-Aug,124,146,M,Lw,4.12,5.94,3.72,3.78,3.80,0.519,3.95,3.86,4.00,12.42,,
P146_NW18,17-Apr,18-Apr,28-Jul,101,146,M,Lw,4.18,6.29,3.89,3.92,3.96,0.574,3.99,3.90,3.86,12.65,,
P146_NW19,17-Apr,28-Apr,01-Jun,34,146,M,Lw,3.18,5.23,3.30,3.27,3.39,0.421,3.39,3.27,3.26,12.65,,
P146_NW21,17-Apr,21-Apr,17-Jul,87,146,M,Lw,3.70,5.66,3.51,3.53,3.54,0.476,3.76,3.79,3.79,12.31,,
P146_NW22,17-Apr,27-Apr,05-Aug,100,146,M,Lw,3.50,5.51,3.65,3.56,3.63,0.542,3.61,3.59,3.57,13.06,,
P146_NW23,17-Apr,26-Apr,03-Aug,99,146,M,Lw,3.67,5.84,3.47,3.47,3.54,0.522,3.60,3.63,3.56,12.44,,
P149_SW14,18-Apr,30-Apr,12-Aug,104,149,M,Sw,2.48,4.45,3.84,3.82,3.85,0.596,3.87,3.96,3.93,10.07,10.04,
P149_SW15,18-Apr,22-Apr,25-Jul,94,149,M,Sw,2.61,4.47,3.43,3.46,3.45,0.474,3.54,3.61,3.65,9.46,9.46,
P149_SW16,18-Apr,19-Apr,25-Aug,128,149,M,Sw,3.35,4.63,3.64,3.61,3.52,0.462,3.80,3.77,3.80,9.36,10.18,
P149_SW17,18-Apr,30-Apr,24-Aug,116,149,M,Sw,2.52,4.27,3.94,3.99,4.01,0.590,4.21,4.08,4.04,9.82,9.92,
P149_SW18,18-Apr,19-Apr,25-Jul,97,149,M,Sw,2.92,4.75,3.58,3.50,3.56,0.467,3.62,3.66,3.71,9.26,8.91,
P149_SW19,18-Apr,19-Apr,18-Aug,121,149,M,Sw,2.74,4.58,3.65,3.72,3.71,0.498,3.79,3.89,3.85,9.17,9.04,
P149_SW20,18-Apr,30-Apr,23-Aug,115,149,M,Sw,2.46,4.65,3.76,3.65,3.69,0.554,4.03,3.90,3.99,9.41,9.19,
P149_SW21,18-Apr,19-Apr,21-Aug,124,149,M,Sw,2.73,4.69,3.83,3.81,3.85,0.507,3.71,3.81,3.81,9.24,9.03,
P149_SW22,18-Apr,27-Apr,30-Jul,94,149,M,Sw,2.66,4.54,3.71,3.66,3.69,0.502,3.75,3.71,3.80,9.52,9.73,
P149_SW23,18-Apr,21-Apr,10-Sep,142,149,M,Sw,2.61,4.38,3.62,3.69,3.66,0.488,3.88,3.86,3.83,8.67,8.51,
P149_SW24,18-Apr,28-Apr,28-Jul,91,149,M,Sw,2.22,4.96,3.93,3.90,3.94,0.615,3.91,3.87,3.97,9.83,7.75,
P149_NW_F10,18-Apr,25-Apr,03-Jul,69,149,F,Lw,3.29,5.57,3.37,3.31,3.44,0.436,3.32,3.34,3.43,11.30,,
P149_NW_F11,18-Apr,30-Apr,18-Jul,79,149,F,Lw,3.20,5.07,3.45,3.46,3.34,0.498,3.67,3.71,3.72,11.95,,
P149_NW_F12,18-Apr,20-Apr,07-May,17,149,F,Lw,3.46,5.12,3.30,3.24,3.29,0.395,3.51,3.55,3.57,11.24,,
P149_NW_F13,18-Apr,25-Apr,22-Jul,88,149,F,Lw,3.66,6.03,3.81,3.88,3.79,0.523,3.81,3.87,3.87,12.31,,
P143_SW_F1,26-Apr,01-May,09-Aug,100,143,F,Sw,2.37,4.99,3.68,3.75,3.73,0.506,3.89,3.99,3.95,8.56,8.56,
P143_SW_F2,26-Apr,30-Apr,21-Jul,82,143,F,Sw,2.73,4.75,3.74,3.68,3.75,0.512,3.75,3.76,3.78,8.55,8.51,
P143_SW_F3,26-Apr,30-Apr,27-Jul,88,143,F,Sw,2.48,4.54,3.72,3.62,3.73,0.403,3.64,3.66,3.64,8.47,8.38,
P143_SW_F4,26-Apr,30-Apr,07-Jun,38,143,F,Sw,2.48,4.83,3.79,3.77,3.80,0.496,3.93,3.96,3.92,8.51,8.67,
P143_SW_F5,26-Apr,08-May,31-Jul,84,143,F,Sw,1.97,4.29,3.60,3.51,3.53,0.512,3.68,3.66,3.62,9.11,8.82,
P143_SW_F6,26-Apr,04-May,26-Jun,53,143,F,Sw,1.98,4.35,3.57,3.57,3.53,0.491,3.79,3.71,3.79,7.96,5.32,
P143_SW_F7,26-Apr,04-May,21-Jul,78,143,F,Sw,2.00,4.12,3.51,3.60,3.60,0.430,3.80,3.76,3.75,6.29(L),,
