Sample_ID,Date of collection,Box,Sex,Phenotype,Weight,Time_of_weight,Mean,SD,N,SE,Note,
P146_NW15,17-Apr,146,M,Lw,0.550,W4,,,,,,
P146_NW16,17-Apr,146,M,Lw,0.551,W4,,,,,,
P146_NW17,17-Apr,146,M,Lw,0.589,W4,,,,,,
P146_NW18,17-Apr,146,M,Lw,0.601,W4,,,,,,
P146_NW21,17-Apr,146,M,Lw,0.555,W4,,,,,,
P146_NW22,17-Apr,146,M,Lw,0.553,W4,,,,,,
P146_NW23,17-Apr,146,M,Lw,0.539,W4,,,,,,
P146_NW24,29-Apr,146,M,Lw,0.531,W4,,,,,,
P146_NW26,29-Apr,146,M,Lw,0.604,W4,,,,,,
P146_NW27,29-Apr,146,M,Lw,0.595,W4,,,,,,
P145_NW4,29-Apr,145,M,Lw,0.654,W4,,,,,,
P152_NW1,01-May,152,M,Lw,0.658,W4,,,,,,
P152_NW2,01-May,152,M,Lw,0.585,W4,,,,,,
P152_NW4,01-May,152,M,Lw,0.552,W4,,,,,,
P152_NW5,01-May,152,M,Lw,0.603,W4,,,,,,
P152_NW7,01-May,152,M,Lw,0.592,W4,,,,,,
P152_NW8,01-May,152,M,Lw,0.691,W4,,,,,,
P152_NW9,01-May,152,M,Lw,0.611,W4,,,,,,
P152_NW10,10-May,152,M,Lw,0.604,W4,,,,,,
P152_NW11,10-May,152,M,Lw,0.447,W4,,,,,,
P152_NW12,10-May,152,M,Lw,0.558,W4,,,,,,
P152_NW13,10-May,152,M,Lw,0.560,W4,,,,,,
P152_NW14,10-May,152,M,Lw,0.520,W4,,,,,,
P152_NW15,10-May,152,M,Lw,0.651,W4,,,,,,
P152_NW16,10-May,152,M,Lw,0.526,W4,,,,,,
P152_NW17,10-May,152,M,Lw,0.625,W4,,,,,,
P152_NW19,10-May,152,M,Lw,0.676,W4,,,,,,
P145_NW6,14-May,145,M,Lw,0.609,W4,,,,,,
P146_NW1,05-Apr,146,M,Lw,0.548,W6,0.568,0.052,40,0.008,,
P146_NW3,05-Apr,146,M,Lw,0.577,W6,,,,,,
P145_NW2,14-Apr,145,M,Lw,0.535,W6,,,,,,
P145_NW3,14-Apr,145,M,Lw,0.574,W6,,,,,,
P146_NW5,17-Apr,146,M,Lw,0.544,W6,,,,,,
P146_NW6,17-Apr,146,M,Lw,0.498,W6,,,,,,
P146_NW7,17-Apr,146,M,Lw,0.553,W6,,,,,,
P146_NW8,17-Apr,146,M,Lw,0.592,W6,,,,,,
P146_NW10,17-Apr,146,M,Lw,0.570,W6,,,,,,
P146_NW11,17-Apr,146,M,Lw,0.509,W6,,,,,,
P146_NW12,17-Apr,146,M,Lw,0.636,W6,,,,,,
P146_NW14,17-Apr,146,M,Lw,0.512,W6,,,,,,
P146_NW15,17-Apr,146,M,Lw,0.552,W6,,,,,,
P146_NW16,17-Apr,146,M,Lw,0.551,W6,,,,,,
P146_NW17,17-Apr,146,M,Lw,0.575,W6,,,,,,
P146_NW18,17-Apr,146,M,Lw,0.602,W6,,,,,,
P146_NW21,17-Apr,146,M,Lw,0.507,W6,,,,,,
P146_NW22,17-Apr,146,M,Lw,0.544,W6,,,,,,
