Sample_ID,Date of collection,Box,Sex,Phenotype,Weight,Time_of_weight,Mean,SD,N,SE,Note,
P145_NW_F10,29-Apr,145,F,Lw,0.898,W6,,,,,,
P145_NW_F11,29-Apr,145,F,Lw,0.765,W6,,,,,,
P149_NW_F14,29-Apr,149,F,Lw,0.826,W6,,,,,,
P149_NW_F15,29-Apr,149,F,Lw,0.801,W6,,,,,,
P149_NW_F16,29-Apr,149,F,Lw,0.913,W6,,,,,,
P152_NW_F2,01-May,152,F,Lw,0.760,W6,,,,,,
P152_NW_F5,01-May,152,F,Lw,0.689,W6,,,,,,
P152_NW_F6,01-May,152,F,Lw,0.696,W6,,,,,,
P152_NW_F7,01-May,152,F,Lw,0.596,W6,,,,,,
P145_NW_F14,08-May,145,F,Lw,0.896,W6,,,,,,
P152_NW_F9,10-May,152,F,Lw,0.609,W6,,,,,,
P152_NW_F10,10-May,152,F,Lw,0.602,W6,,,,,,
P152_NW_F11,10-May,152,F,Lw,0.574,W6,,,,,,
P152_NW_F13,10-May,152,F,Lw,0.607,W6,,,,,,
P152_NW_F14,10-May,152,F,Lw,0.781,W6,,,,,,
P152_NW_F16,10-May,152,F,Lw,0.741,W6,,,,,,
P152_NW_F18,10-May,152,F,Lw,0.591,W6,,,,,,
P146_NW_F1,05-Apr,146,F,Lw,0.714,W8,0.779,0.126,43,0.019,Measured one day later,
P146_NW_F3,05-Apr,146,F,Lw,0.763,W8,,,,,,
P146_NW_F4,05-Apr,146,F,Lw,0.758,W8,,,,,,
P149_NW_F3,05-Apr,149,F,Lw,0.850,W8,,,,,,
P149_NW_F4,05-Apr,149,F,Lw,0.812,W8,,,,,,
P149_NW_F6,05-Apr,149,F,Lw,0.828,W8,,,,,,
P149_NW_F7,05-Apr,149,F,Lw,0.907,W8,,,,,,
P149_NW_F8,05-Apr,149,F,Lw,0.911,W8,,,,,,
P149_NW_F9,05-Apr,149,F,Lw,0.811,W8,,,,,,
P145_NW_F4,14-Apr,145,F,Lw,1.122,W8,,,,,,
P145_NW_F5,14-Apr,145,F,Lw,0.831,W8,,,,,,
P145_NW_F6,14-Apr,145,F,Lw,0.976,W8,,,,,,
P145_NW_F7,14-Apr,145,F,Lw,0.837,W8,,,,,,
P145_NW_F8,14-Apr,145,F,Lw,0.894,W8,,,,,,
P146_NW_F5,17-Apr,146,F,Lw,0.724,W8,,,,,,
P146_NW_F9,17-Apr,146,F,Lw,0.680,W8,,,,,,
P146_NW_F11,17-Apr,146,F,Lw,0.977,W8,,,,,,
P146_NW_F12,17-Apr,146,F,Lw,0.681,W8,,,,,,
P146_NW_F13,17-Apr,146,F,Lw,0.737,W8,,,,,,
P146_NW_F16,17-Apr,146,F,Lw,0.841,W8,,,,,,
P146_NW_F17,17-Apr,146,F,Lw,0.623,W8,,,,,,
P146_NW_F19,17-Apr,146,F,Lw,0.682,W8,,,,,,
P146_NW_F20,17-Apr,146,F,Lw,0.710,W8,,,,,,
P149_NW_F11,18-Apr,149,F,Lw,0.826,W8,,,,,,
P149_NW_F13,18-Apr,149,F,Lw,0.904,W8,,,,,,
P146_NW_F22,29-Apr,146,F,Lw,0.693,W8,,,,,,
P145_NW_F10,29-Apr,145,F,Lw,0.990,W8,,,,,,
P145_NW_F11,29-Apr,145,F,Lw,0.840,W8,,,,,,
P149_NW_F14,29-Apr,149,F,Lw,0.856,W8,,,,,,
P149_NW_F15,29-Apr,149,F,Lw,0.816,W8,,,,,,
P149_NW_F16,29-Apr,149,F,Lw,0.938,W8,,,,,,
P152_NW_F2,01-May,152,F,Lw,0.778,W8,,,,,,
P152_NW_F5,01-May,152,F,Lw,0.698,W8,,,,,,
P152_NW_F6,01-May,152,F,Lw,0.725,W8,,,,,,
P152_NW_F7,01-May,152,F,Lw,0.594,W8,,,,,,
P145_NW_F14,08-May,145,F,Lw,0.622,W8,,,,,,
P152_NW_F9,10-May,152,F,Lw,0.595,W8,,,,,,
P152_NW_F10,10-May,152,F,Lw,0.588,W8,,,,,,
P152_NW_F11,10-May,152,F,Lw,0.594,W8,,,,,,
P152_NW_F13,10-May,152,F,Lw,0.581,W8,,,,,,
P152_NW_F14,10-May,152,F,Lw,0.773,W8,,,,,,
P152_NW_F16,10-May,152,F,Lw,0.773,W8,,,,,,
P152_NW_F18,10-May,152,F,Lw,0.650,W8,,,,,,
P146_NW_F1,05-Apr,146,F,Lw,0.708,W10,0.808,0.144,43,0.022,,
P146_NW_F3,05-Apr,146,F,Lw,0.744,W10,,,,,,
P146_NW_F4,05-Apr,146,F,Lw,0.751,W10,,,,,,
P149_NW_F3,05-Apr,149,F,Lw,0.866,W10,,,,,,
P149_NW_F4,05-Apr,149,F,Lw,0.859,W10,,,,,,
P149_NW_F6,05-Apr,149,F,Lw,0.834,W10,,,,,,
P149_NW_F7,05-Apr,149,F,Lw,0.971,W10,,,,,,
P149_NW_F8,05-Apr,149,F,Lw,0.939,W10,,,,,,
P149_NW_F9,05-Apr,149,F,Lw,0.812,W10,,,,,,
P145_NW_F4,14-Apr,145,F,Lw,1.106,W10,,,,,,
P145_NW_F5,14-Apr,145,F,Lw,0.928,W10,,,,,,
P145_NW_F6,14-Apr,145,F,Lw,1.025,W10,,,,,,
P145_NW_F7,14-Apr,145,F,Lw,0.890,W10,,,,,,
P145_NW_F8,14-Apr,145,F,Lw,0.913,W10,,,,,,
P146_NW_F5,17-Apr,146,F,Lw,0.754,W10,,,,,,
P146_NW_F9,17-Apr,146,F,Lw,0.637,W10,,,,,,
P146_NW_F11,17-Apr,146,F,Lw,1.061,W10,,,,,,
P146_NW_F12,17-Apr,146,F,Lw,0.693,W10,,,,,,
P146_NW_F13,17-Apr,146,F,Lw,0.712,W10,,,,,,
P146_NW_F16,17-Apr,146,F,Lw,0.839,W10,,,,,,
P146_NW_F17,17-Apr,146,F,Lw,0.699,W10,,,,,,
P146_NW_F19,17-Apr,146,F,Lw,0.686,W10,,,,,,
P146_NW_F20,17-Apr,146,F,Lw,0.745,W10,,,,,,
P149_NW_F11,18-Apr,149,F,Lw,0.878,W10,,,,,,
P149_NW_F13,18-Apr,149,F,Lw,0.934,W10,,,,,,
P146_NW_F22,29-Apr,146,F,Lw,0.708,W10,,,,,,
P145_NW_F10,29-Apr,145,F,Lw,1.033,W10,,,,,,
P145_NW_F11,29-Apr,145,F,Lw,0.857,W10,,,,,,
P149_NW_F14,29-Apr,149,F,Lw,0.954,W10,,,,,,
P149_NW_F15,29-Apr,149,F,Lw,0.862,W10,,,,,,
P149_NW_F16,29-Apr,149,F,Lw,0.958,W10,,,,,,
P152_NW_F2,01-May,152,F,Lw,0.851,W10,,,,,,
P152_NW_F5,01-May,152,F,Lw,0.709,W10,,,,,,
P152_NW_F6,01-May,152,F,Lw,0.684,W10,,,,,,
P152_NW_F7,01-May,152,F,Lw,0.642,W10,,,,,,
P145_NW_F14,08-May,145,F,Lw,1.006,W10,,,,,,
P152_NW_F9,10-May,152,F,Lw,0.530,W10,,,,,,
P152_NW_F10,10-May,152,F,Lw,0.617,W10,,,,,,
P152_NW_F11,10-May,152,F,Lw,0.574,W10,,,,,,
P152_NW_F13,10-May,152,F,Lw,0.610,W10,,,,,,
P152_NW_F14,10-May,152,F,Lw,0.805,W10,,,,,,
P152_NW_F16,10-May,152,F,Lw,0.810,W10,,,,,,
P152_NW_F18,10-May,152,F,Lw,0.570,W10,,,,,,
P136_SW_F1,06-Apr,136,F,Sw,0.439,W0,0.499,0.051,31,0.009,,
P136_SW_F2,06-Apr,136,F,Sw,0.439,W0,,,,,,
P136_SW_F3,06-Apr,136,F,Sw,0.463,W0,,,,,,
P136_SW_F4,06-Apr,136,F,Sw,0.446,W0,,,,,,
P136_SW_F6,06-Apr,136,F,Sw,0.458,W0,,,,,,
P136_SW_F7,06-Apr,136,F,Sw,0.543,W0,,,,,,
P136_SW_F8,06-Apr,136,F,Sw,0.514,W0,,,,,,
P136_SW_F9,06-Apr,136,F,Sw,0.420,W0,,,,,,
P136_SW_F10,14-Apr,136,F,Sw,0.538,W0,,,,,,
P136_SW_F11,14-Apr,136,F,Sw,0.526,W0,,,,,,
P136_SW_F14,14-Apr,136,F,Sw,0.469,W0,,,,,,
P136_SW_F15,14-Apr,136,F,Sw,0.553,W0,,,,,,
P143_SW_F1,26-Apr,143,F,Sw,0.506,W0,,,,,,
P143_SW_F2,26-Apr,143,F,Sw,0.512,W0,,,,,,
P143_SW_F3,26-Apr,143,F,Sw,0.403,W0,,,,,,
P143_SW_F5,26-Apr,143,F,Sw,0.512,W0,,,,,,
P143_SW_F7,26-Apr,143,F,Sw,0.430,W0,,,,,,
P136_SW_F18,29-Apr,136,F,Sw,0.520,W0,,,,,,
P136_SW_F19,29-Apr,136,F,Sw,0.589,W0,,,,,,
P136_SW_F20,29-Apr,136,F,Sw,0.455,W0,,,,,,
P136_SW_F21,29-Apr,136,F,Sw,0.457,W0,,,,,,
P136_SW_F22,29-Apr,136,F,Sw,0.610,W0,,,,,,
P136_SW_F24,29-Apr,136,F,Sw,0.463,W0,,,,,,
P143_SW_F8,01-May,143,F,Sw,0.534,W0,,,,,,
P136_SW_F26,08-May,136,F,Sw,0.550,W0,,,,,,
P136_SW_F27,08-May,136,F,Sw,0.526,W0,,,,,,
P143_SW_F10,14-May,143,F,Sw,0.496,W0,,,,,,
P143_SW_F11,14-May,143,F,Sw,0.493,W0,,,,,,
P143_SW_F12,14-May,143,F,Sw,0.511,W0,,,,,,
P143_SW_F14,23-May,143,F,Sw,0.533,W0,,,,,,
P143_SW_F15,23-May,143,F,Sw,0.567,W0,,,,,,
P136_SW_F1,06-Apr,136,F,Sw,0.625,W2,0.709,0.064,31,0.011,,
P136_SW_F2,06-Apr,136,F,Sw,0.666,W2,,,,,,
P136_SW_F3,06-Apr,136,F,Sw,0.665,W2,,,,,,
P136_SW_F4,06-Apr,136,F,Sw,0.645,W2,,,,,,
P136_SW_F6,06-Apr,136,F,Sw,0.649,W2,,,,,,
P136_SW_F7,06-Apr,136,F,Sw,0.789,W2,,,,,,
P136_SW_F8,06-Apr,136,F,Sw,0.730,W2,,,,,,
P136_SW_F9,06-Apr,136,F,Sw,0.574,W2,,,,,,
P136_SW_F10,14-Apr,136,F,Sw,0.778,W2,,,,,,
P136_SW_F11,14-Apr,136,F,Sw,0.729,W2,,,,,,
P136_SW_F14,14-Apr,136,F,Sw,0.669,W2,,,,,,
P136_SW_F15,14-Apr,136,F,Sw,0.793,W2,,,,,,
P143_SW_F1,26-Apr,143,F,Sw,0.770,W2,,,,,,
P143_SW_F2,26-Apr,143,F,Sw,0.783,W2,,,,,,
P143_SW_F3,26-Apr,143,F,Sw,0.615,W2,,,,,,
P143_SW_F5,26-Apr,143,F,Sw,0.756,W2,,,,,,
P143_SW_F7,26-Apr,143,F,Sw,0.666,W2,,,,,,
P136_SW_F18,29-Apr,136,F,Sw,0.712,W2,,,,,,
P136_SW_F19,29-Apr,136,F,Sw,0.811,W2,,,,,,
P136_SW_F20,29-Apr,136,F,Sw,0.617,W2,,,,,,
P136_SW_F21,29-Apr,136,F,Sw,0.651,W2,,,,,,
P136_SW_F22,29-Apr,136,F,Sw,0.793,W2,,,,,,
P136_SW_F24,29-Apr,136,F,Sw,0.680,W2,,,,,,
P143_SW_F8,01-May,143,F,Sw,0.666,W2,,,,,,
P136_SW_F26,08-May,136,F,Sw,0.729,W2,,,,,,
P136_SW_F27,08-May,136,F,Sw,0.732,W2,,,,,,
P143_SW_F10,14-May,143,F,Sw,0.719,W2,,,,,,
P143_SW_F11,14-May,143,F,Sw,0.690,W2,,,,,,
P143_SW_F12,14-May,143,F,Sw,0.720,W2,,,,,,
P143_SW_F14,23-May,143,F,Sw,0.786,W2,,,,,,
P143_SW_F15,23-May,143,F,Sw,0.760,W2,,,,,,
P136_SW_F1,06-Apr,136,F,Sw,0.737,W4,0.797,0.072,31,0.013,,
P136_SW_F2,06-Apr,136,F,Sw,0.746,W4,,,,,,
P136_SW_F3,06-Apr,136,F,Sw,0.778,W4,,,,,,
P136_SW_F4,06-Apr,136,F,Sw,0.749,W4,,,,,,
P136_SW_F6,06-Apr,136,F,Sw,0.741,W4,,,,,,
P136_SW_F7,06-Apr,136,F,Sw,0.878,W4,,,,,,
P136_SW_F8,06-Apr,136,F,Sw,0.844,W4,,,,,,
P136_SW_F9,06-Apr,136,F,Sw,0.635,W4,,,,,,
P136_SW_F10,14-Apr,136,F,Sw,0.850,W4,,,,,,
P136_SW_F11,14-Apr,136,F,Sw,0.813,W4,,,,,,
P136_SW_F14,14-Apr,136,F,Sw,0.744,W4,,,,,,
P136_SW_F15,14-Apr,136,F,Sw,0.923,W4,,,,,,
P143_SW_F1,26-Apr,143,F,Sw,0.832,W4,,,,,,
P143_SW_F2,26-Apr,143,F,Sw,0.850,W4,,,,,,
P143_SW_F3,26-Apr,143,F,Sw,0.715,W4,,,,,,
P143_SW_F5,26-Apr,143,F,Sw,0.849,W4,,,,,,
P143_SW_F7,26-Apr,143,F,Sw,0.730,W4,,,,,,
P136_SW_F18,29-Apr,136,F,Sw,0.796,W4,,,,,,
P136_SW_F19,29-Apr,136,F,Sw,0.940,W4,,,,,,
P136_SW_F20,29-Apr,136,F,Sw,0.704,W4,,,,,,
P136_SW_F21,29-Apr,136,F,Sw,0.761,W4,,,,,,
P136_SW_F22,29-Apr,136,F,Sw,0.947,W4,,,,,,
P136_SW_F24,29-Apr,136,F,Sw,0.786,W4,,,,,,
P143_SW_F8,01-May,143,F,Sw,0.731,W4,,,,,,
P136_SW_F26,08-May,136,F,Sw,0.794,W4,,,,,,
P136_SW_F27,08-May,136,F,Sw,0.799,W4,,,,,,
P143_SW_F10,14-May,143,F,Sw,0.786,W4,,,,,,
P143_SW_F11,14-May,143,F,Sw,0.757,W4,,,,,,
P143_SW_F12,14-May,143,F,Sw,0.775,W4,,,,,,
P143_SW_F14,23-May,143,F,Sw,0.816,W4,,,,,,
P143_SW_F15,23-May,143,F,Sw,0.897,W4,,,,,,
P136_SW_F1,06-Apr,136,F,Sw,0.837,W6,0.846,0.087,31,0.016,,
P136_SW_F2,06-Apr,136,F,Sw,0.791,W6,,,,,,
P136_SW_F3,06-Apr,136,F,Sw,0.810,W6,,,,,,
P136_SW_F4,06-Apr,136,F,Sw,0.775,W6,,,,,,
P136_SW_F6,06-Apr,136,F,Sw,0.791,W6,,,,,,
P136_SW_F7,06-Apr,136,F,Sw,0.933,W6,,,,,,
P136_SW_F8,06-Apr,136,F,Sw,0.850,W6,,,,,,
P136_SW_F9,06-Apr,136,F,Sw,0.685,W6,,,,,,
P136_SW_F10,14-Apr,136,F,Sw,0.946,W6,,,,,,
P136_SW_F11,14-Apr,136,F,Sw,0.937,W6,,,,,,
P136_SW_F14,14-Apr,136,F,Sw,0.820,W6,,,,,,
P136_SW_F15,14-Apr,136,F,Sw,1.026,W6,,,,,,
P143_SW_F1,26-Apr,143,F,Sw,0.905,W6,,,,,,
P143_SW_F2,26-Apr,143,F,Sw,0.855,W6,,,,,,
P143_SW_F3,26-Apr,143,F,Sw,0.730,W6,,,,,,
P143_SW_F5,26-Apr,143,F,Sw,0.935,W6,,,,,,
P143_SW_F7,26-Apr,143,F,Sw,0.798,W6,,,,,,
P136_SW_F18,29-Apr,136,F,Sw,0.837,W6,,,,,,
P136_SW_F19,29-Apr,136,F,Sw,0.983,W6,,,,,,
P136_SW_F20,29-Apr,136,F,Sw,0.720,W6,,,,,,
P136_SW_F21,29-Apr,136,F,Sw,0.809,W6,,,,,,
P136_SW_F22,29-Apr,136,F,Sw,1.040,W6,,,,,,
P136_SW_F24,29-Apr,136,F,Sw,0.837,W6,,,,,,
P143_SW_F8,01-May,143,F,Sw,0.772,W6,,,,,,
P136_SW_F26,08-May,136,F,Sw,0.848,W6,,,,,,
P136_SW_F27,08-May,136,F,Sw,0.831,W6,,,,,,
P143_SW_F10,14-May,143,F,Sw,0.772,W6,,,,,,
P143_SW_F11,14-May,143,F,Sw,0.813,W6,,,,,,
P143_SW_F12,14-May,143,F,Sw,0.776,W6,,,,,,
P143_SW_F14,23-May,143,F,Sw,0.821,W6,,,,,,
P143_SW_F15,23-May,143,F,Sw,0.954,W6,,,,,,
P136_SW_F1,06-Apr,136,F,Sw,0.895,W8,0.901,0.095,28,0.018,,
P136_SW_F2,06-Apr,136,F,Sw,,W8,,,,,,
P136_SW_F3,06-Apr,136,F,Sw,0.897,W8,,,,,Measured one day later,
P136_SW_F4,06-Apr,136,F,Sw,0.849,W8,,,,,Measured one day later,
P136_SW_F6,06-Apr,136,F,Sw,0.852,W8,,,,,,
P136_SW_F7,06-Apr,136,F,Sw,,W8,,,,,,
P136_SW_F8,06-Apr,136,F,Sw,0.924,W8,,,,,Measured one day later,
P136_SW_F9,06-Apr,136,F,Sw,,W8,,,,,,
P136_SW_F10,14-Apr,136,F,Sw,1.038,W8,,,,,,
P136_SW_F11,14-Apr,136,F,Sw,0.974,W8,,,,,,
P136_SW_F14,14-Apr,136,F,Sw,0.854,W8,,,,,,
P136_SW_F15,14-Apr,136,F,Sw,1.088,W8,,,,,,
P143_SW_F1,26-Apr,143,F,Sw,0.912,W8,,,,,,
P143_SW_F2,26-Apr,143,F,Sw,0.928,W8,,,,,,
P143_SW_F3,26-Apr,143,F,Sw,0.800,W8,,,,,,
P143_SW_F5,26-Apr,143,F,Sw,0.940,W8,,,,,,
P143_SW_F7,26-Apr,143,F,Sw,0.805,W8,,,,,,
P136_SW_F18,29-Apr,136,F,Sw,0.908,W8,,,,,,
P136_SW_F19,29-Apr,136,F,Sw,1.111,W8,,,,,,
P136_SW_F20,29-Apr,136,F,Sw,0.750,W8,,,,,,
P136_SW_F21,29-Apr,136,F,Sw,0.846,W8,,,,,,
P136_SW_F22,29-Apr,136,F,Sw,1.077,W8,,,,,,
P136_SW_F24,29-Apr,136,F,Sw,0.908,W8,,,,,,
P143_SW_F8,01-May,143,F,Sw,0.831,W8,,,,,,
P136_SW_F26,08-May,136,F,Sw,0.894,W8,,,,,,
P136_SW_F27,08-May,136,F,Sw,0.847,W8,,,,,,
P143_SW_F10,14-May,143,F,Sw,0.748,W8,,,,,,
P143_SW_F11,14-May,143,F,Sw,0.890,W8,,,,,,
P143_SW_F12,14-May,143,F,Sw,0.810,W8,,,,,,
P143_SW_F14,23-May,143,F,Sw,0.844,W8,,,,,,
P143_SW_F15,23-May,143,F,Sw,1.017,W8,,,,,,
P136_SW_F1,06-Apr,136,F,Sw,0.968,W10,0.945,0.118,31,0.021,,
P136_SW_F2,06-Apr,136,F,Sw,0.836,W10,,,,,,
P136_SW_F3,06-Apr,136,F,Sw,0.946,W10,,,,,,
P136_SW_F4,06-Apr,136,F,Sw,0.878,W10,,,,,,
P136_SW_F6,06-Apr,136,F,Sw,0.922,W10,,,,,,
P136_SW_F7,06-Apr,136,F,Sw,0.998,W10,,,,,,
P136_SW_F8,06-Apr,136,F,Sw,1.032,W10,,,,,,
P136_SW_F9,06-Apr,136,F,Sw,0.860,W10,,,,,,
P136_SW_F10,14-Apr,136,F,Sw,1.094,W10,,,,,,
P136_SW_F11,14-Apr,136,F,Sw,1.068,W10,,,,,,
P136_SW_F14,14-Apr,136,F,Sw,0.935,W10,,,,,,
P136_SW_F15,14-Apr,136,F,Sw,1.177,W10,,,,,,
P143_SW_F1,26-Apr,143,F,Sw,0.939,W10,,,,,,
P143_SW_F2,26-Apr,143,F,Sw,0.901,W10,,,,,,
P143_SW_F3,26-Apr,143,F,Sw,0.803,W10,,,,,,
P143_SW_F5,26-Apr,143,F,Sw,0.990,W10,,,,,,
P143_SW_F7,26-Apr,143,F,Sw,0.871,W10,,,,,,
P136_SW_F18,29-Apr,136,F,Sw,0.963,W10,,,,,,
P136_SW_F19,29-Apr,136,F,Sw,1.143,W10,,,,,,
P136_SW_F20,29-Apr,136,F,Sw,0.824,W10,,,,,,
P136_SW_F21,29-Apr,136,F,Sw,0.857,W10,,,,,,
P136_SW_F22,29-Apr,136,F,Sw,1.166,W10,,,,,,
P136_SW_F24,29-Apr,136,F,Sw,1.016,W10,,,,,,
P143_SW_F8,01-May,143,F,Sw,0.921,W10,,,,,,
P136_SW_F26,08-May,136,F,Sw,0.977,W10,,,,,,
P136_SW_F27,08-May,136,F,Sw,0.934,W10,,,,,,
P143_SW_F10,14-May,143,F,Sw,0.670,W10,,,,,,
P143_SW_F11,14-May,143,F,Sw,0.972,W10,,,,,,
P143_SW_F12,14-May,143,F,Sw,0.835,W10,,,,,,
P143_SW_F14,23-May,143,F,Sw,0.734,W10,,,,,,
P143_SW_F15,23-May,143,F,Sw,1.065,W10,,,,,,
P149_SW1,05-Apr,149,M,Sw,0.521,W0,0.545,0.060,56,0.008,,
P149_SW2,05-Apr,149,M,Sw,0.491,W0,,,,,,
P149_SW3,05-Apr,149,M,Sw,0.520,W0,,,,,,
P149_SW4,05-Apr,149,M,Sw,0.513,W0,,,,,,
P149_SW5,05-Apr,149,M,Sw,0.444,W0,,,,,,
P149_SW6,05-Apr,149,M,Sw,0.521,W0,,,,,,
P149_SW7,05-Apr,149,M,Sw,0.519,W0,,,,,,
P149_SW8,05-Apr,149,M,Sw,0.493,W0,,,,,,
P149_SW9,05-Apr,149,M,Sw,0.468,W0,,,,,,
P149_SW10,05-Apr,149,M,Sw,0.511,W0,,,,,,
P149_SW12,05-Apr,149,M,Sw,0.446,W0,,,,,,
P149_SW13,05-Apr,149,M,Sw,0.571,W0,,,,,,
P136_SW1,06-Apr,136,M,Sw,0.642,W0,,,,,,
P136_SW2,06-Apr,136,M,Sw,0.527,W0,,,,,,
P136_SW4,06-Apr,136,M,Sw,0.584,W0,,,,,,
P136_SW5,06-Apr,136,M,Sw,0.616,W0,,,,,,
P136_SW8,06-Apr,136,M,Sw,0.502,W0,,,,,,
P136_SW9,06-Apr,136,M,Sw,0.602,W0,,,,,,
P136_SW10,06-Apr,136,M,Sw,0.574,W0,,,,,,
P136_SW11,14-Apr,136,M,Sw,0.607,W0,,,,,,
P136_SW12,14-Apr,136,M,Sw,0.591,W0,,,,,,
P136_SW13,14-Apr,136,M,Sw,0.539,W0,,,,,,
P136_SW14,14-Apr,136,M,Sw,0.589,W0,,,,,,
P136_SW15,14-Apr,136,M,Sw,0.564,W0,,,,,,
P149_SW14,18-Apr,149,M,Sw,0.596,W0,,,,,,
P149_SW15,18-Apr,149,M,Sw,0.474,W0,,,,,,
P149_SW16,18-Apr,149,M,Sw,0.462,W0,,,,,,
P149_SW17,18-Apr,149,M,Sw,0.590,W0,,,,,,
P149_SW18,18-Apr,149,M,Sw,0.467,W0,,,,,,
P149_SW19,18-Apr,149,M,Sw,0.498,W0,,,,,,
P149_SW20,18-Apr,149,M,Sw,0.554,W0,,,,,,
P149_SW21,18-Apr,149,M,Sw,0.507,W0,,,,,,
P149_SW22,18-Apr,149,M,Sw,0.502,W0,,,,,,
P149_SW23,18-Apr,149,M,Sw,0.488,W0,,,,,,
P149_SW24,18-Apr,149,M,Sw,0.615,W0,,,,,,
P143_SW_1,26-Apr,143,M,Sw,0.594,W0,,,,,,
P143_SW_3,26-Apr,143,M,Sw,0.531,W0,,,,,,
P143_SW_4,26-Apr,143,M,Sw,0.525,W0,,,,,,
P143_SW_5,26-Apr,143,M,Sw,0.589,W0,,,,,,
P143_SW_6,26-Apr,143,M,Sw,0.501,W0,,,,,,
P143_SW_7,26-Apr,143,M,Sw,0.460,W0,,,,,,
P136_SW16,29-Apr,136,M,Sw,0.641,W0,,,,,,
P136_SW17,29-Apr,136,M,Sw,0.566,W0,,,,,,
P136_SW18,29-Apr,136,M,Sw,0.487,W0,,,,,,
P136_SW19,29-Apr,136,M,Sw,0.621,W0,,,,,,
P136_SW20,29-Apr,136,M,Sw,0.580,W0,,,,,,
P136_SW21,29-Apr,136,M,Sw,0.567,W0,,,,,,
P149_SW25,29-Apr,149,M,Sw,0.573,W0,,,,,,
P149_SW27,29-Apr,149,M,Sw,0.597,W0,,,,,,
P143_SW8,01-May,143,M,Sw,0.503,W0,,,,,,
P149_SW28,08-May,149,M,Sw,0.705,W0,,,,,,
P136_SW23,08-May,136,M,Sw,0.505,W0,,,,,,
P143_SW10,08-May,143,M,Sw,0.475,W0,,,,,,
P136_SW24,14-May,136,M,Sw,0.686,W0,,,,,,
P136_SW25,14-May,136,M,Sw,0.555,W0,,,,,,
P136_SW26,14-May,136,M,Sw,0.572,W0,,,,,,
P149_SW1,05-Apr,149,M,Sw,0.531,W2,0.577,0.057,55,0.008,,
P149_SW2,05-Apr,149,M,Sw,0.519,W2,,,,,,
P149_SW3,05-Apr,149,M,Sw,0.550,W2,,,,,,
P149_SW4,05-Apr,149,M,Sw,0.522,W2,,,,,,
P149_SW5,05-Apr,149,M,Sw,0.516,W2,,,,,,
P149_SW6,05-Apr,149,M,Sw,0.575,W2,,,,,,
P149_SW7,05-Apr,149,M,Sw,0.569,W2,,,,,,
P149_SW8,05-Apr,149,M,Sw,0.510,W2,,,,,,
P149_SW9,05-Apr,149,M,Sw,0.518,W2,,,,,,
P149_SW10,05-Apr,149,M,Sw,0.525,W2,,,,,,
P149_SW12,05-Apr,149,M,Sw,0.473,W2,,,,,,
P149_SW13,05-Apr,149,M,Sw,0.585,W2,,,,,,
P136_SW1,06-Apr,136,M,Sw,0.672,W2,,,,,,
P136_SW2,06-Apr,136,M,Sw,0.568,W2,,,,,,
P136_SW4,06-Apr,136,M,Sw,0.619,W2,,,,,,
P136_SW5,06-Apr,136,M,Sw,0.633,W2,,,,,,
P136_SW8,06-Apr,136,M,Sw,0.537,W2,,,,,,
P136_SW9,06-Apr,136,M,Sw,0.638,W2,,,,,,
P136_SW10,06-Apr,136,M,Sw,0.627,W2,,,,,,
P136_SW11,14-Apr,136,M,Sw,0.675,W2,,,,,,
P136_SW12,14-Apr,136,M,Sw,0.597,W2,,,,,,
P136_SW13,14-Apr,136,M,Sw,0.562,W2,,,,,,
P136_SW14,14-Apr,136,M,Sw,0.624,W2,,,,,,
P136_SW15,14-Apr,136,M,Sw,0.585,W2,,,,,,
P149_SW14,18-Apr,149,M,Sw,0.598,W2,,,,,,
P149_SW15,18-Apr,149,M,Sw,0.503,W2,,,,,,
P149_SW16,18-Apr,149,M,Sw,0.544,W2,,,,,,
P149_SW17,18-Apr,149,M,Sw,0.618,W2,,,,,,
P149_SW18,18-Apr,149,M,Sw,0.515,W2,,,,,,
P149_SW19,18-Apr,149,M,Sw,0.538,W2,,,,,,
P149_SW20,18-Apr,149,M,Sw,0.577,W2,,,,,,
P149_SW21,18-Apr,149,M,Sw,0.569,W2,,,,,,
P149_SW22,18-Apr,149,M,Sw,0.519,W2,,,,,,
P149_SW23,18-Apr,149,M,Sw,0.524,W2,,,,,,
P149_SW24,18-Apr,149,M,Sw,,W2,,,,,,
P143_SW_1,26-Apr,143,M,Sw,0.652,W2,,,,,,
P143_SW_3,26-Apr,143,M,Sw,0.576,W2,,,,,,
P143_SW_4,26-Apr,143,M,Sw,0.511,W2,,,,,,
P143_SW_5,26-Apr,143,M,Sw,0.604,W2,,,,,,
P143_SW_6,26-Apr,143,M,Sw,0.575,W2,,,,,,
P143_SW_7,26-Apr,143,M,Sw,0.512,W2,,,,,,
P136_SW16,29-Apr,136,M,Sw,0.662,W2,,,,,,
P136_SW17,29-Apr,136,M,Sw,0.581,W2,,,,,,
P136_SW18,29-Apr,136,M,Sw,0.532,W2,,,,,,
P136_SW19,29-Apr,136,M,Sw,0.653,W2,,,,,,
P136_SW20,29-Apr,136,M,Sw,0.623,W2,,,,,,
P136_SW21,29-Apr,136,M,Sw,0.540,W2,,,,,,
P149_SW25,29-Apr,149,M,Sw,0.622,W2,,,,,,
P149_SW27,29-Apr,149,M,Sw,0.612,W2,,,,,,
