Box_ID,Sample_ID,Morph,Sex,Phenotype,Muscle_type,Weight(Day0;g),Weight(Day14;g),Pronotum(mm),Ave_Wing_length(mm),Left_wing(mm),Right_wing(mm),W_Gonads(g),Egg_number,W_DLM(g),W_DVM(g),Color_DLM,,Note
B3,B3A_Lw_M11,Lw,M,Lw_M,Lw_M_White,0.375,0.397,3.43,12.39,12.46,12.31,0.0262,,0.0039,0.0175,White,,
B3,B3A_Lw_M12,Lw,M,Lw_M,Lw_M_White,0.46,0.45,3.54,13.05,13.05,13.04,0.0228,,0.0062,0.0214,White,,
B3,B3B_Sw_F4,Sw,F,Sw_F,Sw_F_White,0.477,0.623,3.67,,,9.06,0.2175,375,0.0019,0.0233,White,,
B3,B3B_Sw_F5,Sw,F,Sw_F,Sw_F_White,0.445,0.593,3.71,9.09,10.27,7.91,0.2069,372,0.0017,0.0207,White,,
B3,B3B_Lw_F12,Lw,F,Lw_F,Lw_F_Pink or Red,0.471,0.535,3.67,13.05,13.13,12.96,0.1185,195,0.0115,0.0325,Pink or Red,,
B3,B3B_Sw_FX1,Sw,F,Sw_F,Sw_F_White,0.36,0.506,3.7,8.68,8.72,8.63,0.1704,303,0.0017,0.0181,White,,
B3,B3B_Lw_F16,Lw,F,Lw_F,Lw_F_Pink or Red,0.465,0.494,3.77,13.78,13.82,13.73,0.0879,137,0.0142,0.0322,Pink or Red,,
B3,B3B_Sw_M4,Sw,M,Sw_M,Sw_M_White,0.5,0.539,3.84,9.52,9.55,9.49,0.0286,,0.0041,0.0268,White,,
B3,B3B_Sw_M5,Sw,M,Sw_M,Sw_M_White,0.515,0.506,3.71,9.87,9.73,10.01,0.0297,,0.0022,0.0259,White,,
B3,B3B_Lw_M8,Lw,M,Lw_M,Lw_M_White,0.472,0.457,3.67,13.49,13.43,13.54,0.0266,,0.0035,0.02,White,,
B3,B3B_Lw_M9,Lw,M,Lw_M,Lw_M_White,0.473,0.488,3.58,13.5,13.43,13.57,0.023,,0.0072,0.0218,White,,
B3,B3B_Lw_M10,Lw,M,Lw_M,Lw_M_White,0.495,0.524,3.66,13.36,13.4,13.32,0.0303,,0.0032,0.0217,White,,
B3,B3B_Lw_M11,Lw,M,Lw_M,Lw_M_White,0.501,0.549,3.5,12.68,12.76,12.6,0.0245,,0.0062,0.0246,White,,
B3,B3B_Lw_M12,Lw,M,Lw_M,Lw_M_White,0.361,0.375,3.29,12.36,12.37,12.34,0.0203,,0.0021,0.0192,White,,
B3,B3B_Lw_M13,Lw,M,Lw_M,Lw_M_White,0.434,0.412,3.46,12.21,12.39,12.03,0.0246,,0.0038,0.0194,White,,
B5,B5A_Sw_F6,Sw,F,Sw_F,Sw_F_White,0.473,0.604,3.71,9.14,9.15,9.13,0.2039,354,0.0016,0.0189,White,,
B5,B5A_Sw_F7,Sw,F,Sw_F,Sw_F_White,0.581,0.659,3.94,9.97,9.97,,0.2166,404,0.0021,0.022,White,,
B5,B5A_Sw_F8,Sw,F,Sw_F,Sw_F_White,0.479,0.659,3.87,9.47,9.65,9.29,0.2554,432,0.0021,0.0211,White,,
B5,B5A_Lw_F3,Lw,F,Lw_F,Lw_F_Pink or Red,0.457,0.588,3.66,13.23,13.22,13.24,0.1208,184,0.0094,0.0276,Pink or Red,,
B5,B5A_Lw_F6,Lw,F,Lw_F,Lw_F_Pink or Red,0.479,0.498,3.45,12.12,12.15,12.09,0.1165,206,0.0103,0.0278,Pink or Red,,
B5,B5A_Lw_F8,Lw,F,Lw_F,Lw_F_Pink or Red,0.464,0.433,3.7,13.23,13.21,13.24,0.0819,136,0.0094,0.0283,Pink or Red,,
B5,B5A_Sw_M3,Sw,M,Sw_M,Sw_M_White,0.471,0.5,3.63,9.27,9,9.53,0.0287,,0.0029,0.0177,White,,
B5,B5A_Sw_M4,Sw,M,Sw_M,Sw_M_White,0.504,0.448,3.81,10.2,10.21,10.19,0.0298,,0.0019,0.0236,White,,
B5,B5A_Sw_M5,Sw,M,Sw_M,Sw_M_White,0.493,0.491,3.57,9.26,9.56,8.95,0.028,,0.0046,0.0225,White,,
B5,B5A_Sw_M6,Sw,M,Sw_M,Sw_M_White,0.536,0.531,3.85,9.78,10.08,9.48,0.0323,,0.0048,0.0223,White,,
B5,B5A_Lw_M3,Lw,M,Lw_M,Lw_M_Pink or Red,0.668,0.579,4.11,14.29,14.18,14.39,0.0261,,0.0141,0.0369,Pink or Red,,
B5,B5B_Sw_F3,Sw,F,Sw_F,Sw_F_White,0.481,0.581,3.76,8.92,8.92,,0.1935,354,0.002,0.0196,White,,
B5,B5B_Lw_F6,Lw,F,Lw_F,Lw_F_Pink or Red,0.402,0.521,3.66,13.08,13.06,13.09,0.1466,220,0.0112,0.03,Pink or Red,,
