Generation,Sample_Group,Sample_ID,Phenotype,Mean_Harp_Size,Left_Harp_Size,Right_Harp_Size,,
F7,Flight_Muscle_2024,B2_Lw_M5,Lw,6.656,6.676,6.635,,
F7,Flight_Muscle_2024,B3A_Lw_M1,Lw,7.4,7.3,7.5,,
F7,Flight_Muscle_2024,B3A_Lw_M3,Lw,7.57,7.577,7.563,,
F7,Flight_Muscle_2024,B3A_Lw_M4_June2024,Lw,8.284,8.114,8.454,,
F7,Flight_Muscle_2024,B3A_Lw_M4_29May2024,Lw,7.502,7.413,7.59,,
F7,Flight_Muscle_2024,B3A_Lw_M11,Lw,7.342,7.415,7.269,,
F7,Flight_Muscle_2024,B3A_Lw_M12,Lw,7.878,7.9,7.855,,
F7,Flight_Muscle_2024,B3A_Lw_M13,Lw,8.383,8.41,8.355,,
F7,Flight_Muscle_2024,B3A_Lw_M16,Lw,8.333,8.176,8.489,,
F7,Flight_Muscle_2024,B3A_Lw_M17,Lw,8.767,9.094,8.44,,
F7,Flight_Muscle_2024,B3A_Lw_MX1,Lw,7.956,7.872,8.039,,
F7,Flight_Muscle_2024,B3A_Lw_MX2,Lw,6.518,6.392,6.643,,
F7,Flight_Muscle_2024,B3B_Lw_M1,Lw,7.382,7.355,7.408,,
F7,Flight_Muscle_2024,B3B_Lw_M2,Lw,7.268,7.159,7.377,,
F7,Flight_Muscle_2024,B3B_Lw_M3,Lw,6.682,6.853,6.511,,
F7,Flight_Muscle_2024,B3B_Lw_M4,Lw,6.702,6.858,6.545,,
F7,Flight_Muscle_2024,B3B_Lw_M7,Lw,6.819,6.751,6.887,,
F7,Flight_Muscle_2024,B3B_Lw_M8,Lw,8.206,8.335,8.076,,
F7,Flight_Muscle_2024,B3B_Lw_M9,Lw,8.44,8.367,8.512,,
F7,Flight_Muscle_2024,B3B_Lw_M10,Lw,8.176,8.005,8.347,,
F7,Flight_Muscle_2024,B3B_Lw_M11,Lw,8.057,8.092,8.021,,
F7,Flight_Muscle_2024,B3B_Lw_M12,Lw,7.41,7.428,7.391,,
F7,Flight_Muscle_2024,B3B_Lw_M13,Lw,7.285,7.109,7.461,,
