gene_id(stringtie),baseMean,log2FoldChange,lfcSE,pvalue,padj,Expression,Gene_Name,Gene_id(Genome)
MSTRG.9173,3695.000499,-0.063414045,0.043031003,0.12609383,0.228715771,Unchanged,,
MSTRG.5190,8450.903259,-0.063408931,0.061040034,0.262709466,0.402769409,Unchanged,,
TOC.13T.00706,6.199524561,-0.063385844,0.2002844,0.561664742,0.69230648,Unchanged,,
MSTRG.5730,9186.269729,-0.063249869,0.034505631,0.060454755,0.127507746,Unchanged,,
TOC.9T.01442,2.322549222,-0.063234037,0.301856898,0.619617477,0.740024498,Unchanged,,
TOC.8T.01066,2.536784707,-0.063206387,0.308558933,0.622233493,0.74190303,Unchanged,,
MSTRG.10251,1098.821628,-0.063169703,0.053451983,0.210595821,0.341051532,Unchanged,,
TOC.10T.00671,4.105129388,-0.06313275,0.323996965,0.627590948,0.746221511,Unchanged,,
TOC.12T.00697,2.259655247,-0.063010864,0.345929332,0.633554729,0.750457892,Unchanged,,
MSTRG.7813,80.44726974,-0.062994351,0.236665295,0.587965174,0.713995776,Unchanged,,
MSTRG.7340,4712.003108,-0.062926914,0.052692433,0.206581261,0.336141435,Unchanged,,
TOC.9T.01388,8.861943597,-0.062894569,0.182331059,0.551709521,0.683441381,Unchanged,,
MSTRG.403,126.8160677,-0.062890166,0.099219601,0.439698576,0.584543882,Unchanged,,
