gene_id(stringtie),baseMean,log2FoldChange,lfcSE,pvalue,padj,Expression,Gene_Name,Gene_id(Genome)
MSTRG.822,154.5375386,-10.47167599,0.733568036,1.03E-47,3.31E-44,Down-regulated,,TOC.1T.01610
MSTRG.824,286.5282419,-10.29404745,0.724054125,2.56E-47,6.86E-44,Down-regulated,,TOC.1T.01612
MSTRG.4795,1045.781554,-10.20788045,1.563229526,1.02E-12,7.73E-11,Down-regulated,Cu,TOC.2T.01582
MSTRG.823,188.0187447,-10.05510623,0.723639813,2.66E-45,5.35E-42,Down-regulated,,TOC.1T.01611
MSTRG.825,102.0555024,-9.89810003,0.726853679,1.30E-43,2.09E-40,Down-regulated,,TOC.1T.01613
MSTRG.4355,4129.065084,-9.643613562,1.284739815,1.54E-15,2.06E-13,Down-regulated,Cu,TOC.2T.00762
MSTRG.4352,140.3874407,-9.250898873,1.525956344,2.34E-11,1.26E-09,Down-regulated,Cu,TOC.2T.00759
MSTRG.6421,10901.24787,-9.173427677,1.077705014,5.61E-19,1.33E-16,Down-regulated,,TOC.3T.01862
MSTRG.4731,72.23826821,-9.171641534,0.975114846,1.90E-22,7.65E-20,Down-regulated,Cu,TOC.2T.01425
MSTRG.4358,1561.456913,-9.124614844,1.005503949,4.05E-21,1.36E-18,Down-regulated,Cu,TOC.2T.00766
MSTRG.4356,30945.63124,-9.118039167,1.003030342,3.51E-21,1.20E-18,Down-regulated,Cu,TOC.2T.00764
MSTRG.4359,5317.22881,-9.062068076,1.020246955,2.27E-20,6.70E-18,Down-regulated,Cu,TOC.2T.00770
MSTRG.6423,41365.09594,-8.604756746,0.871495594,2.01E-24,1.12E-21,Down-regulated,,TOC.3T.01864
MSTRG.4354,1383.885342,-8.358536828,1.088544436,4.23E-16,6.48E-14,Down-regulated,Cu,TOC.2T.00761
MSTRG.10535,24270.32433,-8.330823384,0.913287782,2.36E-21,8.25E-19,Down-regulated,Cu,TOC.8T.00571
MSTRG.3042,24896.33836,-8.249873935,1.252176603,9.11E-13,7.04E-11,Down-regulated,,TOC.12T.01159
MSTRG.3749,2089.509815,-8.123624357,1.131781763,1.60E-14,1.75E-12,Down-regulated,,TOC.14T.00436
MSTRG.3043,6633.084433,-8.08688684,1.246303401,1.68E-12,1.21E-10,Down-regulated,,TOC.12T.01160
MSTRG.6422,17704.41871,-7.973951193,1.096143649,7.64E-15,8.90E-13,Down-regulated,,TOC.3T.01863
MSTRG.899,101.7392463,-7.799163081,0.560736762,1.86E-45,4.26E-42,Down-regulated,,TOC.1T.01731
MSTRG.10534,2830.984819,-7.630137928,0.850982708,7.14E-21,2.34E-18,Down-regulated,,TOC.8T.00570
MSTRG.3041,261.9311119,-7.037881445,1.381389673,3.87E-09,1.14E-07,Down-regulated,,TOC.12T.01156
MSTRG.3688,132.1603241,-6.84483717,0.996454534,9.16E-14,8.77E-12,Down-regulated,,TOC.14T.00282
MSTRG.10532,1508.649748,-6.838185634,0.893418446,2.88E-16,4.68E-14,Down-regulated,,TOC.8T.00568
MSTRG.10529,205402.2228,-6.239312133,0.862925004,6.32E-15,7.42E-13,Down-regulated,Cu,TOC.8T.00565
MSTRG.821,160.9431916,-6.204900561,0.278445301,6.67E-112,3.57E-108,Down-regulated,,TOC.1T.01609
MSTRG.3750,27869.1257,-6.182256424,0.906391083,1.18E-13,1.12E-11,Down-regulated,,TOC.14T.00438
MSTRG.10533,3389.994679,-6.106376609,0.870002757,2.95E-14,3.14E-12,Down-regulated,Cu,TOC.8T.00569
MSTRG.4357,31.00554034,-6.080545178,2.400465439,1.09E-05,9.71E-05,Down-regulated,Cu,TOC.2T.00765
MSTRG.10528,7889.951664,-6.030653749,1.122703698,9.20E-10,3.27E-08,Down-regulated,Cu,TOC.8T.00564
TOC.2T.01968,7.856656435,-5.928047743,1.058453919,2.65E-10,1.08E-08,Down-regulated,,TOC.2T.01968
MSTRG.6917,55.48101231,-5.925634114,0.851095326,4.53E-14,4.70E-12,Down-regulated,,TOC.4T.00520
MSTRG.417,132.131784,-5.870731396,0.274880312,4.22E-103,1.70E-99,Down-regulated,,TOC.1T.00845
MSTRG.5094,88.12285326,-5.819762338,1.312347231,7.91E-08,1.52E-06,Down-regulated,,TOC.2T.02147
MSTRG.2661,3149.068837,-5.815830979,0.624215543,1.66E-22,6.83E-20,Down-regulated,,TOC.12T.00398
MSTRG.3885,18970.80913,-5.787701158,0.864071481,2.94E-13,2.53E-11,Down-regulated,,TOC.16T.00014
MSTRG.8609,528.4790037,-5.759097502,1.321468083,1.08E-07,1.99E-06,Down-regulated,,TOC.6T.00033
MSTRG.6916,20.59197038,-5.735173951,0.878958653,9.57E-13,7.33E-11,Down-regulated,,TOC.4T.00519
MSTRG.8606,791.1407618,-5.704115348,1.482147322,6.46E-07,9.25E-06,Down-regulated,,TOC.6T.00030
MSTRG.6790,448.0105702,-5.675973991,0.969963591,6.62E-11,3.13E-09,Down-regulated,,TOC.4T.00259
MSTRG.3156,6784.352219,-5.570260516,0.598282595,1.96E-22,7.70E-20,Down-regulated,,TOC.13T.00115
TOC.4T.00255,18.64081903,-5.443872786,1.275474518,1.62E-07,2.80E-06,Down-regulated,,TOC.4T.00255
MSTRG.10531,1841.451959,-5.363381428,0.862998571,8.18E-12,4.94E-10,Down-regulated,Cu,TOC.8T.00567
MSTRG.10151,1241.117578,-5.312729119,0.694789671,3.68E-16,5.80E-14,Down-regulated,,TOC.7T.01235
MSTRG.8931,90286.74209,-5.30206513,0.836075881,3.77E-12,2.48E-10,Down-regulated,,TOC.6T.00687
MSTRG.4362,8213.53321,-5.294076027,0.663541636,2.69E-17,4.92E-15,Down-regulated,,TOC.2T.00780
MSTRG.241,1856.13867,-5.241010397,0.732960524,1.58E-14,1.74E-12,Down-regulated,,TOC.1T.00468
MSTRG.1101,311.3769529,-5.23274391,0.640215517,5.71E-18,1.18E-15,Down-regulated,,TOC.1T.02209
MSTRG.3614,18783.72802,-5.212291622,0.86336001,2.61E-11,1.40E-09,Down-regulated,,TOC.14T.00181
MSTRG.5097,5064.389647,-5.196772464,0.848915445,1.57E-11,8.88E-10,Down-regulated,,TOC.2T.02154
MSTRG.6419,36215.22311,-5.101673238,1.014810199,6.68E-09,1.85E-07,Down-regulated,,TOC.3T.01859
MSTRG.4721,2209.743445,-5.022708969,0.892111252,3.00E-10,1.20E-08,Down-regulated,Cu,TOC.2T.01398
MSTRG.6138,98451.09787,-5.014057077,0.840033041,4.31E-11,2.16E-09,Down-regulated,,TOC.3T.01334
MSTRG.8610,12829.989,-5.005084153,1.061125227,2.87E-08,6.35E-07,Down-regulated,,TOC.6T.00034
MSTRG.10523,6989.637753,-4.842345496,0.727740304,6.28E-13,5.02E-11,Down-regulated,Cu,TOC.8T.00557
TOC.3T.01875,9.401166171,-4.831207542,0.868740238,4.70E-10,1.79E-08,Down-regulated,,TOC.3T.01875
MSTRG.8608,4207.820577,-4.708744031,0.937947685,7.67E-09,2.06E-07,Down-regulated,,TOC.6T.00032
MSTRG.10521,1179.321988,-4.692320992,0.576320799,1.09E-17,2.14E-15,Down-regulated,Cu,TOC.8T.00555
MSTRG.4353,146.5869326,-4.689713996,1.226015093,8.69E-07,1.20E-05,Down-regulated,Cu,TOC.2T.00760
MSTRG.8930,4341.523136,-4.660387617,0.94854698,1.28E-08,3.21E-07,Down-regulated,,TOC.6T.00686
MSTRG.8602,1016.027128,-4.598682709,1.786683854,1.90E-05,1.53E-04,Down-regulated,,TOC.6T.00026
TOC.2T.00758,6.784616255,-4.595824711,1.000117087,5.25E-08,1.07E-06,Down-regulated,Cu,TOC.2T.00758
MSTRG.4012,10.54417473,-4.568272999,1.288061386,2.03E-06,2.44E-05,Down-regulated,,TOC.2T.00183
MSTRG.10447,404.0626837,-4.55477,1.110169036,3.53E-07,5.49E-06,Down-regulated,,TOC.8T.00408
MSTRG.6425,87.5342928,-4.551354704,0.592406862,4.54E-16,6.82E-14,Down-regulated,,TOC.3T.01872
MSTRG.1394,54.50902287,-4.532554064,0.823141925,6.85E-10,2.52E-08,Down-regulated,,TOC.10T.00282
TOC.14T.00180,3.912520507,-4.529559389,1.007092043,7.92E-08,1.52E-06,Down-regulated,,TOC.14T.00180
MSTRG.4732,264.3450404,-4.51637761,0.796592482,2.84E-10,1.15E-08,Down-regulated,Cu,TOC.2T.01426
MSTRG.8424,1884.773901,-4.469370944,0.518976859,2.38E-19,6.08E-17,Down-regulated,,TOC.5T.01594
MSTRG.6248,6362.393606,-4.3974618,0.653931276,4.69E-13,3.93E-11,Down-regulated,Cu,TOC.3T.01539
MSTRG.8603,110043.8795,-4.347595649,0.986911938,1.16E-07,2.13E-06,Down-regulated,,TOC.6T.00027
MSTRG.5204,210.0136737,-4.34343156,0.629784852,1.48E-13,1.35E-11,Down-regulated,,TOC.2T.02323
TOC.1T.01733,2.338396104,-4.305288588,0.877560365,1.37E-08,3.39E-07,Down-regulated,,TOC.1T.01733
MSTRG.9978,19817.06382,-4.299582151,0.443052098,1.11E-23,5.42E-21,Down-regulated,,TOC.7T.00950
MSTRG.6239,416.8253385,-4.250644277,0.389566581,4.25E-29,3.80E-26,Down-regulated,Cu,TOC.3T.01526
MSTRG.3615,1197.226166,-4.225941022,0.774600176,9.13E-10,3.25E-08,Down-regulated,,TOC.14T.00182
MSTRG.8604,88939.10811,-4.177153551,0.946864112,1.14E-07,2.08E-06,Down-regulated,,TOC.6T.00028
MSTRG.8605,5975.08199,-4.14568615,1.358649755,8.05E-06,7.55E-05,Down-regulated,,TOC.6T.00029
MSTRG.4991,55.20037773,-4.143308987,1.406212348,1.03E-05,9.23E-05,Down-regulated,Cu,TOC.2T.01972
MSTRG.5583,466.0461816,-4.068292752,0.527574439,4.00E-16,6.24E-14,Down-regulated,,TOC.3T.00356
MSTRG.6208,454.5530679,-4.058889192,0.371373364,3.57E-29,3.37E-26,Down-regulated,Cu,TOC.3T.01483
MSTRG.10187,36.84590611,-4.017082449,1.179516056,3.35E-06,3.64E-05,Down-regulated,,TOC.7T.01295
MSTRG.4734,9962.306527,-4.014630002,0.875532793,5.47E-08,1.12E-06,Down-regulated,Cu,TOC.2T.01430
MSTRG.8607,1155.780234,-4.012990096,1.403003596,1.30E-05,1.12E-04,Down-regulated,,TOC.6T.00031
MSTRG.7374,118973.9074,-3.995204731,0.594917991,4.89E-13,4.07E-11,Down-regulated,Cu,TOC.4T.01356
MSTRG.3616,426.5598806,-3.985108374,0.707433328,3.37E-10,1.33E-08,Down-regulated,,TOC.14T.00183
MSTRG.7427,3574.17241,-3.979861871,0.622829519,3.98E-12,2.58E-10,Down-regulated,,TOC.5T.00001
MSTRG.7364,35.066146,-3.96945679,0.534800051,3.43E-15,4.21E-13,Down-regulated,,TOC.4T.01333
TOC.1T.01719,2.541094757,-3.938634315,0.929837452,2.21E-07,3.67E-06,Down-regulated,,TOC.1T.01719
MSTRG.7000,199.3686126,-3.938440795,0.817674583,1.95E-08,4.57E-07,Down-regulated,Cu,TOC.4T.00716
MSTRG.3748,277.355138,-3.918762972,0.562646366,8.79E-14,8.48E-12,Down-regulated,,TOC.14T.00433
TOC.13T.00564,2.530529004,-3.892023093,1.306963574,1.03E-05,9.23E-05,Down-regulated,,TOC.13T.00564
MSTRG.1493,82.73225291,-3.8416966,0.555741643,1.21E-13,1.13E-11,Down-regulated,,TOC.10T.00477
MSTRG.6035,1781.007347,-3.831251101,0.455904844,1.39E-18,3.11E-16,Down-regulated,,TOC.3T.01167
TOC.2T.02140,2.572375867,-3.823075348,1.402156073,1.86E-05,1.51E-04,Down-regulated,,TOC.2T.02140
TOC.2T.02149,4.131199727,-3.806172518,1.881657042,7.36E-05,4.70E-04,Down-regulated,,TOC.2T.02149
TOC.2T.02036,21.01785762,-3.796398514,1.299039991,1.20E-05,1.06E-04,Down-regulated,,TOC.2T.02036
MSTRG.4992,326.5201037,-3.781202138,1.153679004,4.94E-06,5.03E-05,Down-regulated,Cu,TOC.2T.01973
MSTRG.3167,252.0753569,-3.721712585,0.825997605,7.08E-08,1.39E-06,Down-regulated,,TOC.13T.00129
MSTRG.883,955.8571907,-3.70424706,0.419809525,3.40E-20,9.77E-18,Down-regulated,,TOC.1T.01710
MSTRG.8247,449.0169663,-3.676798794,0.351138436,4.03E-27,3.09E-24,Down-regulated,,TOC.5T.01299
MSTRG.10516,374.0629676,-3.664618995,0.489822402,1.82E-15,2.39E-13,Down-regulated,Cu,TOC.8T.00552
MSTRG.3178,253.2240852,-3.65006986,0.425243564,2.62E-19,6.57E-17,Down-regulated,,TOC.13T.00165
MSTRG.6219,320.0581741,-3.625463052,0.359937777,2.32E-25,1.44E-22,Down-regulated,,TOC.3T.01499
TOC.1T.02464,3.236731382,-3.615552187,1.745777652,7.46E-05,4.75E-04,Down-regulated,,TOC.1T.02464
TOC.2T.00184,2.941932425,-3.600201741,1.673649485,6.50E-05,4.24E-04,Down-regulated,,TOC.2T.00184
MSTRG.10530,11480.31354,-3.583278823,0.75941656,2.63E-08,5.89E-07,Down-regulated,,TOC.8T.00566
MSTRG.4863,2056.006588,-3.549055928,0.50139324,2.99E-14,3.17E-12,Down-regulated,,TOC.2T.01695
TOC.13T.00453,13.69421406,-3.525107966,1.224455156,1.44E-05,1.22E-04,Down-regulated,,TOC.13T.00453
MSTRG.9708,92.88815341,-3.503038517,0.375446438,2.74E-22,1.03E-19,Down-regulated,,TOC.7T.00459
MSTRG.3108,15.63921645,-3.496961238,0.691069665,4.97E-09,1.43E-07,Down-regulated,,TOC.13T.00016
MSTRG.2154,26.37596604,-3.489534052,0.524508821,5.09E-13,4.22E-11,Down-regulated,,TOC.11T.00491
MSTRG.6217,96.95627538,-3.482888269,0.40904025,3.89E-19,9.47E-17,Down-regulated,,TOC.3T.01495
MSTRG.10522,272513.9733,-3.477480949,0.650441334,1.14E-09,3.97E-08,Down-regulated,Cu,TOC.8T.00556
MSTRG.8016,1467.729952,-3.473407778,0.439486661,5.80E-17,1.00E-14,Down-regulated,,TOC.5T.00961
MSTRG.8932,6730.467568,-3.466077926,0.406383326,3.37E-19,8.33E-17,Down-regulated,,TOC.6T.00688
TOC.14T.00283,15.46577257,-3.458132002,1.388618818,3.54E-05,2.53E-04,Down-regulated,,TOC.14T.00283
MSTRG.2153,63.95185334,-3.436346754,0.437298816,7.89E-17,1.35E-14,Down-regulated,,TOC.11T.00490
MSTRG.7782,70.46937959,-3.410893831,0.743185867,4.26E-08,8.92E-07,Down-regulated,,TOC.5T.00547
TOC.3T.01907,1.878473905,-3.382712876,1.321586886,3.14E-05,2.30E-04,Down-regulated,,TOC.3T.01907
MSTRG.1616,12081.93514,-3.3678909,0.648190448,2.28E-09,7.10E-08,Down-regulated,,TOC.10T.00659
MSTRG.7129,163.8973279,-3.349633927,0.561411093,3.19E-11,1.66E-09,Down-regulated,,TOC.4T.00962
MSTRG.7376,17586.20156,-3.324039666,0.417634064,3.03E-17,5.48E-15,Down-regulated,,TOC.4T.01358
MSTRG.6214,851.7677519,-3.322135472,0.337104484,1.35E-24,8.06E-22,Down-regulated,Cu,TOC.3T.01492
MSTRG.143,44.03764166,-3.288306536,0.848224516,7.33E-07,1.03E-05,Down-regulated,,TOC.1T.00284
MSTRG.3747,604.3050073,-3.274153291,0.408479155,1.80E-17,3.44E-15,Down-regulated,,TOC.14T.00432
MSTRG.6220,888.2117456,-3.26965163,0.325967276,2.15E-25,1.38E-22,Down-regulated,,TOC.3T.01500
TOC.7T.00792,31.917707,-3.268993931,0.438956388,1.45E-15,1.96E-13,Down-regulated,,TOC.7T.00792
MSTRG.4254,58661.44963,-3.268064376,0.446623494,3.77E-15,4.60E-13,Down-regulated,,TOC.2T.00599
TOC.2T.00600,5.878232577,-3.248023426,1.079964432,1.11E-05,9.88E-05,Down-regulated,,TOC.2T.00600
MSTRG.4255,9264.63155,-3.247436041,0.439295292,2.11E-15,2.76E-13,Down-regulated,,TOC.2T.00601
MSTRG.8248,104.7422608,-3.244450056,0.383672374,4.51E-19,1.08E-16,Down-regulated,,TOC.5T.01300
MSTRG.4720,45.71036027,-3.235922804,0.613598364,1.36E-09,4.59E-08,Down-regulated,Cu,TOC.2T.01395
MSTRG.7375,11853.72069,-3.218506722,0.431643625,1.26E-15,1.73E-13,Down-regulated,,TOC.4T.01357
MSTRG.6218,248.9517254,-3.172395376,0.337992724,9.72E-23,4.11E-20,Down-regulated,Cu,TOC.3T.01496
MSTRG.6213,1465.393758,-3.135259831,0.331769874,4.97E-23,2.22E-20,Down-regulated,Cu,TOC.3T.01491
MSTRG.5032,734.7758388,-3.123016924,0.531017543,4.12E-11,2.07E-09,Down-regulated,,TOC.2T.02038
MSTRG.4042,155.8766274,-3.1087804,0.403681775,1.66E-16,2.80E-14,Down-regulated,,TOC.2T.00258
MSTRG.6037,77.72506972,-3.102755182,0.885005424,2.61E-06,2.98E-05,Down-regulated,,TOC.3T.01170
MSTRG.4824,585.1878922,-3.094250025,0.378404876,3.63E-18,7.90E-16,Down-regulated,,TOC.2T.01625
MSTRG.4823,347.3780878,-3.018003368,0.384676446,4.65E-17,8.22E-15,Down-regulated,,TOC.2T.01624
MSTRG.6427,132.0272809,-2.97763977,0.780730753,8.78E-07,1.21E-05,Down-regulated,,TOC.3T.01878
MSTRG.8828,1294.664858,-2.970650913,0.412550524,5.75E-15,6.85E-13,Down-regulated,,TOC.6T.00549
MSTRG.8249,224.8808452,-2.965490905,0.414671744,8.16E-15,9.37E-13,Down-regulated,,TOC.5T.01301
MSTRG.11144,4624.477661,-2.959202279,0.397109107,8.85E-16,1.27E-13,Down-regulated,,TOC.9T.00562
MSTRG.3595,407.884433,-2.934625277,0.354726273,1.27E-18,2.89E-16,Down-regulated,,TOC.14T.00136
TOC.11T.00054,21.55456528,-2.92239436,0.662490117,7.41E-08,1.44E-06,Down-regulated,,TOC.11T.00054
MSTRG.4259,686.5982326,-2.907392614,0.48194092,1.32E-11,7.59E-10,Down-regulated,,TOC.2T.00605
TOC.2T.01433,4.228185977,-2.900344431,1.1114307,3.38E-05,2.44E-04,Down-regulated,Cu,TOC.2T.01433
MSTRG.882,24.91516444,-2.878086216,0.679484953,1.58E-07,2.74E-06,Down-regulated,,TOC.1T.01709
MSTRG.3301,7862.376416,-2.874642058,0.518479944,2.28E-10,9.41E-09,Down-regulated,,TOC.13T.00400
MSTRG.1532,1755.40748,-2.872691404,0.382069515,4.75E-16,7.07E-14,Down-regulated,,TOC.10T.00532
MSTRG.4334,75.82670348,-2.853392425,0.352203403,4.66E-18,9.73E-16,Down-regulated,,TOC.2T.00732
MSTRG.898,17.53270199,-2.842765815,1.286795677,8.52E-05,5.32E-04,Down-regulated,Cu,TOC.1T.01730
MSTRG.4043,65.46294615,-2.841817832,0.549170269,1.69E-09,5.54E-08,Down-regulated,,TOC.2T.00259
MSTRG.10179,966.1600523,-2.83479496,1.162870305,5.20E-05,0.00035171,Down-regulated,Cu,TOC.7T.01284
MSTRG.897,10606.04766,-2.833074802,0.776728342,1.62E-06,2.02E-05,Down-regulated,,TOC.1T.01729
MSTRG.6211,3418.247141,-2.807075243,0.330233542,1.55E-19,4.15E-17,Down-regulated,Cu,TOC.3T.01489
TOC.9T.00841,3.337356144,-2.801764176,1.419728917,1.40E-04,8.10E-04,Down-regulated,Cu,TOC.9T.00841
MSTRG.8827,177.7548883,-2.787644246,0.446445316,3.17E-12,2.13E-10,Down-regulated,,TOC.6T.00548
MSTRG.6946,74.23058766,-2.775654966,0.466889539,2.02E-11,1.11E-09,Down-regulated,,TOC.4T.00581
MSTRG.10512,9277.333248,-2.76131776,0.502872096,2.87E-10,1.16E-08,Down-regulated,,TOC.8T.00537
MSTRG.4253,1021.261413,-2.744504807,0.336069568,2.38E-18,5.25E-16,Down-regulated,,TOC.2T.00598
MSTRG.9689,97.40329535,-2.742319061,0.495897417,2.28E-10,9.41E-09,Down-regulated,,TOC.7T.00438
MSTRG.1150,199.0430127,-2.739622081,0.394671412,2.82E-14,3.03E-12,Down-regulated,,TOC.1T.02283
MSTRG.4794,34602.10852,-2.738337832,0.731203893,1.15E-06,1.52E-05,Down-regulated,Cu,TOC.2T.01581
MSTRG.8601,216099.6158,-2.718786362,0.671672336,3.47E-07,5.42E-06,Down-regulated,,TOC.6T.00025
MSTRG.8600,1531.17784,-2.709400408,0.96132554,2.18E-05,1.71E-04,Down-regulated,,TOC.6T.00024
TOC.2T.02033,64.21806407,-2.702595887,0.455272663,2.05E-11,1.12E-09,Down-regulated,,TOC.2T.02033
MSTRG.2663,2277.582044,-2.694398473,0.56694639,1.40E-08,3.47E-07,Down-regulated,,TOC.12T.00403
MSTRG.9296,20.56665816,-2.693477418,0.628331812,1.25E-07,2.26E-06,Down-regulated,,TOC.6T.01274
MSTRG.4011,62.93874657,-2.678166054,1.836560108,3.79E-04,0.00188469,Down-regulated,,TOC.2T.00181
TOC.4T.00263,6.979404091,-2.667402914,1.444954316,1.96E-04,0.001072236,Down-regulated,,TOC.4T.00263
MSTRG.52,213.9586266,-2.661629932,0.529537875,3.48E-09,1.03E-07,Down-regulated,,TOC.1T.00109
MSTRG.2701,45.02060413,-2.656577144,0.628306358,1.62E-07,2.80E-06,Down-regulated,,TOC.12T.00505
MSTRG.6137,205282.1925,-2.650793445,0.640559204,2.40E-07,3.91E-06,Down-regulated,,TOC.3T.01333
MSTRG.6947,379.1551735,-2.648070252,0.470149679,1.23E-10,5.37E-09,Down-regulated,,TOC.4T.00582
MSTRG.6210,1071.556044,-2.628315062,0.310136514,1.59E-19,4.19E-17,Down-regulated,,TOC.3T.01488
MSTRG.9042,179.7480905,-2.626051736,0.510349564,1.85E-09,5.98E-08,Down-regulated,,TOC.6T.00875
MSTRG.9043,307.7981246,-2.620510741,0.528811002,5.03E-09,1.44E-07,Down-regulated,,TOC.6T.00876
MSTRG.1549,14.88797101,-2.618704902,0.760821869,3.51E-06,3.78E-05,Down-regulated,,TOC.10T.00554
TOC.2T.00779,2.428510362,-2.612303688,1.852734802,4.30E-04,0.002094071,Down-regulated,,TOC.2T.00779
MSTRG.8611,5417.740682,-2.608035388,0.523173509,4.32E-09,1.26E-07,Down-regulated,,TOC.6T.00035
MSTRG.472,1630.437121,-2.59846686,0.377766417,4.03E-14,4.21E-12,Down-regulated,,TOC.1T.00927
MSTRG.4730,69.36701022,-2.576662752,1.24352816,1.33E-04,7.77E-04,Down-regulated,Cu,TOC.2T.01424
MSTRG.1828,354.8350348,-2.575290118,0.354495479,2.46E-15,3.14E-13,Down-regulated,,TOC.10T.01087
MSTRG.10460,526.9692356,-2.573031909,0.418449981,5.25E-12,3.31E-10,Down-regulated,,TOC.8T.00443
MSTRG.6789,1117.449076,-2.565846797,0.462974271,2.05E-10,8.57E-09,Down-regulated,,TOC.4T.00258
TOC.7T.00842,1.895457663,-2.563610748,1.217327205,1.25E-04,7.39E-04,Down-regulated,,TOC.7T.00842
MSTRG.10180,1964.653875,-2.5376227,1.210262657,1.30E-04,7.61E-04,Down-regulated,,TOC.7T.01285
MSTRG.7036,117.5013907,-2.52964794,0.306117918,9.05E-19,2.08E-16,Down-regulated,,TOC.4T.00812
MSTRG.5421,116.2743923,-2.52797507,0.543973446,2.41E-08,5.48E-07,Down-regulated,,TOC.29T.00006
MSTRG.10987,676.8240084,-2.52234664,0.277425168,6.16E-22,2.25E-19,Down-regulated,,TOC.9T.00160
MSTRG.7667,2042.154615,-2.47936979,0.456677545,3.99E-10,1.55E-08,Down-regulated,,TOC.5T.00380
TOC.4T.00264,4.764061069,-2.478752328,1.795403538,5.02E-04,0.002387728,Down-regulated,,TOC.4T.00264
MSTRG.3860,32.06311814,-2.478548409,0.541330648,3.43E-08,7.39E-07,Down-regulated,,TOC.14T.00672
MSTRG.6418,5165.277585,-2.472714807,0.691106953,2.36E-06,2.74E-05,Down-regulated,,TOC.3T.01858
MSTRG.4257,7050.283597,-2.470946357,0.456267429,4.32E-10,1.67E-08,Down-regulated,,TOC.2T.00603
MSTRG.8598,4458.788918,-2.450570202,0.555766672,7.75E-08,1.49E-06,Down-regulated,,TOC.6T.00007
TOC.5T.01539,38.08120587,-2.445940564,0.471421359,1.54E-09,5.09E-08,Down-regulated,,TOC.5T.01539
MSTRG.4999,13833.05071,-2.436023076,0.741578543,6.55E-06,6.42E-05,Down-regulated,Cu,TOC.2T.01986
MSTRG.2295,7584.606032,-2.435162084,0.398686679,6.99E-12,4.30E-10,Down-regulated,,TOC.11T.00717
TOC.7T.00419,15.8763672,-2.434003404,0.879842198,2.95E-05,2.18E-04,Down-regulated,,TOC.7T.00419
MSTRG.4153,545.9895445,-2.429000665,0.356588086,6.47E-14,6.51E-12,Down-regulated,,TOC.2T.00461
TOC.1T.01640,8.469917265,-2.425511638,0.458218605,8.77E-10,3.14E-08,Down-regulated,,TOC.1T.01640
TOC.2T.01871,3.527631643,-2.40306539,1.143542728,1.42E-04,8.18E-04,Down-regulated,,TOC.2T.01871
MSTRG.2550,68.05659229,-2.380490319,0.551733983,1.26E-07,2.27E-06,Down-regulated,,TOC.12T.00168
MSTRG.4724,1125.165767,-2.376623133,0.37108907,1.07E-12,8.02E-11,Down-regulated,Cu,TOC.2T.01402
MSTRG.10446,29482.57647,-2.367297421,0.417422694,1.06E-10,4.71E-09,Down-regulated,,TOC.8T.00407
MSTRG.1664,3482.491381,-2.36133753,0.293791962,6.12E-18,1.24E-15,Down-regulated,,TOC.10T.00740
MSTRG.9245,128.6217752,-2.330642564,0.472566814,6.60E-09,1.84E-07,Down-regulated,,TOC.6T.01196
MSTRG.3926,7074.560172,-2.32681009,0.340125876,5.68E-14,5.81E-12,Down-regulated,,TOC.2T.00027
MSTRG.6023,1676.844176,-2.32322235,1.231357368,2.34E-04,0.001245031,Down-regulated,,TOC.3T.01154
TOC.11T.00429,1.55338317,-2.314498728,1.586397009,5.12E-04,0.002426317,Down-regulated,,TOC.11T.00429
TOC.12T.00042,8.958689458,-2.310161663,0.825254119,2.98E-05,2.20E-04,Down-regulated,,TOC.12T.00042
MSTRG.10186,216.1131631,-2.285269307,1.370612813,3.66E-04,0.001827365,Down-regulated,,TOC.7T.01289
TOC.8T.00762,1.407143593,-2.280298457,1.298791265,3.12E-04,0.001599259,Down-regulated,,TOC.8T.00762
MSTRG.7280,632.5966866,-2.276716571,0.55602037,3.68E-07,5.70E-06,Down-regulated,,TOC.4T.01218
TOC.13T.00166,134.6920601,-2.269942989,0.460233076,7.07E-09,1.94E-07,Down-regulated,,TOC.13T.00166
MSTRG.6164,404.8123293,-2.267653285,0.239772138,2.22E-23,1.02E-20,Down-regulated,,TOC.3T.01404
MSTRG.7388,833.3502459,-2.256539306,0.278874226,4.38E-18,9.27E-16,Down-regulated,,TOC.4T.01372
MSTRG.1647,1083.781169,-2.253642847,0.341254711,3.20E-13,2.72E-11,Down-regulated,,TOC.10T.00702
MSTRG.4538,3427.695777,-2.247823705,0.304631915,1.24E-15,1.72E-13,Down-regulated,,TOC.2T.01064
MSTRG.4990,631.6928458,-2.243810605,0.359220598,3.48E-12,2.29E-10,Down-regulated,Cu,TOC.2T.01965
MSTRG.4893,405.8258478,-2.241697394,0.381027639,3.42E-11,1.75E-09,Down-regulated,,TOC.2T.01765
MSTRG.10567,55.90105622,-2.225375916,0.456646329,1.02E-08,2.64E-07,Down-regulated,,TOC.8T.00611
MSTRG.4821,377.7463791,-2.225104534,0.377446164,3.26E-11,1.68E-09,Down-regulated,,TOC.2T.01622
TOC.14T.00538,5.817071229,-2.224360118,1.308087538,3.63E-04,0.001815876,Down-regulated,,TOC.14T.00538
MSTRG.3727,85.46159915,-2.214415281,0.372946144,2.56E-11,1.37E-09,Down-regulated,,TOC.14T.00384
TOC.13T.00017,5.97746229,-2.209305186,0.755479919,2.35E-05,1.81E-04,Down-regulated,,TOC.13T.00017
