Class,GO_Name,GO_ID,GO_Level,P_value,EnrichmentScore,HitsGenesCountsInSelectedSet,HitsGenesCountsInBackground,AllGenesCountsInSelectedSet,AllGenesCountsInBackground,GenesOfSelectedSetInGOterm,padj_BH
Molecular function,serine-type endopeptidase activity,GO:0004252,6,6.00E-04,4.130123617,8,58,159,4761,"TOC.8T.00640,TOC.1T.00609,TOC.2T.00883,TOC.2T.00886,TOC.5T.00854,TOC.5T.00697,TOC.5T.01754,TOC.5T.01749,",0.018463617
Molecular function,structural molecule activity,GO:0005198,2,6.13E-04,2.153463427,21,292,159,4761,"TOC.2T.01430,TOC.2T.01424,TOC.2T.01425,TOC.3T.01526,TOC.4T.00713,TOC.4T.00702,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.4T.01332,TOC.7T.01315,TOC.1T.00781,TOC.1T.00540,TOC.2T.01972,TOC.6T.00964,",0.017521158
Molecular function,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds",GO:0016810,4,0.001209869,4.192075472,7,50,159,4761,"TOC.3T.00672,TOC.6T.00007,TOC.4T.00881,TOC.9T.00430,TOC.7T.00613,TOC.7T.00614,TOC.4T.00813,",0.032263172
Molecular function,obsolete drug binding,GO:0008144,0,0.001296255,3.685341074,8,65,159,4761,"TOC.6T.00565,TOC.7T.00613,TOC.7T.00614,TOC.3T.00512,TOC.6T.01274,TOC.3T.00053,TOC.2T.01027,TOC.2T.01046,",0.032406371
Molecular function,peptidase activity,GO:0008233,4,0.001402821,2.303338171,16,208,159,4761,"TOC.8T.00640,TOC.2T.01608,TOC.1T.00609,TOC.3T.02155,TOC.9T.00160,TOC.4T.01020,TOC.1T.02135,TOC.2T.00883,TOC.2T.00886,TOC.1T.00107,TOC.5T.00854,TOC.5T.00698,TOC.5T.00697,TOC.5T.01754,TOC.5T.01749,TOC.6T.00913,",0.033007554
Molecular function,endopeptidase activity,GO:0004175,5,0.003219163,2.747100571,10,109,159,4761,"TOC.8T.00640,TOC.1T.00609,TOC.9T.00160,TOC.2T.00883,TOC.2T.00886,TOC.5T.00854,TOC.5T.00698,TOC.5T.00697,TOC.5T.01754,TOC.5T.01749,",0.064383261
Molecular function,"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides",GO:0016811,5,0.003783212,4.67865566,5,32,159,4761,"TOC.3T.00672,TOC.4T.00881,TOC.7T.00613,TOC.7T.00614,TOC.4T.00813,",0.065794989
Molecular function,hydrolase activity,GO:0016787,3,0.005222721,1.433460458,45,940,159,4761,"TOC.5T.00142,TOC.3T.00672,TOC.6T.00416,TOC.5T.01205,TOC.6T.00007,TOC.8T.00640,TOC.1T.01583,TOC.2T.01608,TOC.1T.01552,TOC.1T.00609,TOC.4T.00881,TOC.3T.02155,TOC.9T.00430,TOC.7T.00087,TOC.5T.00282,TOC.1T.02107,TOC.7T.00613,TOC.7T.00614,TOC.2T.01765,TOC.9T.00160,TOC.4T.01020,TOC.1T.02376,TOC.1T.02377,TOC.1T.02135,TOC.7T.00686,TOC.5T.01195,TOC.4T.00813,TOC.2T.00883,TOC.2T.00886,TOC.2T.01750,TOC.1T.00107,TOC.3T.00053,TOC.5T.00854,TOC.4T.00532,TOC.7T.01228,TOC.7T.01235,TOC.5T.00698,TOC.5T.00697,TOC.9T.00780,TOC.5T.01754,TOC.5T.01749,TOC.6T.00915,TOC.6T.00913,TOC.3T.01113,TOC.3T.02204,",0.087045345
Molecular function,obsolete cofactor binding,GO:0048037,0,0.010312148,3.208221024,6,56,159,4761,"TOC.4T.00655,TOC.6T.00565,TOC.3T.00512,TOC.6T.01274,TOC.7T.00467,TOC.5T.00411,",0.142236523
Molecular function,exopeptidase activity,GO:0008238,5,0.013476365,3.481790259,5,43,159,4761,"TOC.2T.01608,TOC.4T.01020,TOC.1T.02135,TOC.1T.00107,TOC.6T.00913,",0.173888582
Molecular function,carbohydrate derivative binding,GO:0097367,3,0.014248166,2.495283019,8,96,159,4761,"TOC.5T.00147,TOC.7T.00613,TOC.7T.00614,TOC.5T.01118,TOC.4T.00813,TOC.3T.00053,TOC.2T.01027,TOC.2T.01046,",0.178102081
Molecular function,metallopeptidase activity,GO:0008237,5,0.022765649,3.055448595,5,49,159,4761,"TOC.2T.01608,TOC.3T.02155,TOC.4T.01020,TOC.1T.02135,TOC.1T.00107,",0.206960446
Molecular function,lyase activity,GO:0016829,3,0.029864786,2.328930818,7,90,159,4761,"TOC.1T.01515,TOC.6T.00007,TOC.3T.01903,TOC.3T.02167,TOC.6T.00565,TOC.6T.01274,TOC.1T.00737,",0.248873214
Molecular function,catalytic activity,GO:0003824,2,0.030448211,1.165913275,85,2183,159,4761,"TOC.5T.00142,TOC.4T.00080,TOC.1T.01185,TOC.9T.01194,TOC.5T.00581,TOC.5T.00582,TOC.2T.02323,TOC.5T.01681,TOC.3T.00672,TOC.6T.00416,TOC.5T.01205,TOC.1T.01515,TOC.6T.00007,TOC.8T.00640,TOC.1T.01583,TOC.8T.00870,TOC.2T.01608,TOC.3T.01903,TOC.1T.01552,TOC.1T.01568,TOC.7T.00286,TOC.1T.00609,TOC.7T.00076,TOC.8T.00537,TOC.4T.00655,TOC.4T.00881,TOC.3T.02155,TOC.4T.00879,TOC.3T.02167,TOC.7T.00034,TOC.9T.00430,TOC.7T.00087,TOC.7T.01185,TOC.7T.01189,TOC.8T.01039,TOC.4T.00698,TOC.5T.00282,TOC.6T.00565,TOC.1T.02107,TOC.7T.00613,TOC.7T.00614,TOC.2T.01765,TOC.5T.01350,TOC.7T.00624,TOC.9T.00160,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.4T.01020,TOC.1T.02376,TOC.1T.02377,TOC.1T.02135,TOC.7T.00686,TOC.6T.01274,TOC.5T.01195,TOC.7T.00467,TOC.4T.00813,TOC.2T.00883,TOC.2T.00886,TOC.2T.01750,TOC.1T.00107,TOC.3T.00700,TOC.3T.00053,TOC.5T.00854,TOC.1T.00737,TOC.4T.00532,TOC.1T.00526,TOC.7T.01228,TOC.5T.00813,TOC.7T.01235,TOC.5T.00698,TOC.5T.00697,TOC.4T.00141,TOC.9T.00780,TOC.5T.01754,TOC.3T.00469,TOC.3T.00482,TOC.3T.00254,TOC.5T.00411,TOC.5T.01749,TOC.6T.00915,TOC.6T.00913,TOC.3T.01113,TOC.3T.02204,TOC.1T.00906,",0.248556827
Molecular function,UDP-glycosyltransferase activity,GO:0008194,5,0.035446933,2.72212693,5,55,159,4761,"TOC.9T.01194,TOC.7T.00286,TOC.7T.01185,TOC.1T.00526,TOC.3T.00254,",0.177234664
Cellular component,external encapsulating structure,GO:0030312,3,0,10.46875,25,76,160,5092,"TOC.2T.01430,TOC.2T.01424,TOC.2T.01425,TOC.2T.02323,TOC.3T.01526,TOC.4T.00713,TOC.4T.00702,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.7T.00613,TOC.7T.00614,TOC.5T.01350,TOC.5T.01341,TOC.7T.01315,TOC.1T.00781,TOC.2T.01972,TOC.6T.00964,TOC.6T.00738,",0
Cellular component,obsolete extracellular region part,GO:0044421,0,0,5.430456349,43,252,160,5092,"TOC.2T.01430,TOC.2T.01424,TOC.2T.01425,TOC.5T.01681,TOC.3T.01526,TOC.4T.00713,TOC.4T.00702,TOC.1T.01583,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.7T.00087,TOC.5T.00522,TOC.8T.01060,TOC.2T.02036,TOC.1T.02107,TOC.7T.00613,TOC.7T.00614,TOC.2T.00489,TOC.6T.00548,TOC.4T.01020,TOC.1T.02135,TOC.8T.00711,TOC.7T.01315,TOC.1T.00781,TOC.2T.01972,TOC.1T.00107,TOC.2T.00892,TOC.3T.01152,TOC.3T.01157,TOC.5T.00813,TOC.2T.00811,TOC.6T.00964,TOC.5T.01526,TOC.6T.00738,TOC.2T.02147,TOC.2T.01046,",0
Cellular component,extracellular region,GO:0005576,3,0,5.707218845,59,329,160,5092,"TOC.2T.01430,TOC.5T.01238,TOC.5T.00147,TOC.2T.01424,TOC.2T.01425,TOC.5T.01681,TOC.3T.01526,TOC.4T.00713,TOC.4T.00702,TOC.1T.01583,TOC.2T.01608,TOC.1T.00468,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.7T.00087,TOC.5T.00522,TOC.8T.01060,TOC.2T.02036,TOC.1T.02107,TOC.7T.00613,TOC.7T.00614,TOC.2T.00489,TOC.6T.00548,TOC.4T.01020,TOC.1T.02135,TOC.8T.00711,TOC.7T.01315,TOC.1T.00781,TOC.4T.00813,TOC.2T.01972,TOC.1T.00107,TOC.2T.00892,TOC.3T.00053,TOC.3T.01383,TOC.2T.01089,TOC.5T.00854,TOC.3T.01152,TOC.3T.01157,TOC.3T.01154,TOC.3T.01158,TOC.3T.01167,TOC.5T.00813,TOC.2T.00811,TOC.2T.01013,TOC.6T.00964,TOC.5T.00697,TOC.2T.00176,TOC.5T.01526,TOC.5T.00431,TOC.6T.00738,TOC.2T.02147,TOC.2T.01046,",0
Cellular component,extracellular matrix,GO:0031012,4,1.11E-16,9.828308824,21,68,160,5092,"TOC.2T.01430,TOC.2T.01424,TOC.2T.01425,TOC.3T.01526,TOC.4T.00713,TOC.4T.00702,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.7T.00613,TOC.7T.00614,TOC.7T.01315,TOC.1T.00781,TOC.2T.01972,TOC.6T.00964,",5.86E-15
Cellular component,extracellular space,GO:0005615,3,1.88E-10,4.601204819,24,166,160,5092,"TOC.5T.01681,TOC.1T.01583,TOC.7T.00087,TOC.5T.00522,TOC.8T.01060,TOC.2T.02036,TOC.1T.02107,TOC.7T.00613,TOC.7T.00614,TOC.2T.00489,TOC.6T.00548,TOC.4T.01020,TOC.1T.02135,TOC.8T.00711,TOC.1T.00107,TOC.2T.00892,TOC.3T.01152,TOC.3T.01157,TOC.5T.00813,TOC.2T.00811,TOC.5T.01526,TOC.6T.00738,TOC.2T.02147,TOC.2T.01046,",7.92E-09
Cellular component,cell periphery,GO:0071944,3,6.61E-08,1.984632517,56,898,160,5092,"TOC.1T.02476,TOC.2T.01430,TOC.9T.00023,TOC.2T.01424,TOC.2T.01425,TOC.2T.02323,TOC.3T.01526,TOC.4T.00713,TOC.2T.01834,TOC.1T.01515,TOC.4T.00702,TOC.3T.01903,TOC.6T.01355,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.2T.02077,TOC.7T.01336,TOC.8T.00571,TOC.4T.00038,TOC.2T.01395,TOC.5T.01632,TOC.4T.01356,TOC.6T.00801,TOC.4T.01332,TOC.3T.01248,TOC.3T.01812,TOC.7T.00613,TOC.7T.00614,TOC.2T.01765,TOC.5T.00261,TOC.5T.01350,TOC.6T.00345,TOC.4T.01057,TOC.5T.01341,TOC.4T.01269,TOC.7T.01315,TOC.1T.00781,TOC.2T.00855,TOC.6T.00121,TOC.2T.01972,TOC.2T.00410,TOC.3T.02230,TOC.7T.01261,TOC.4T.00552,TOC.1T.00736,TOC.4T.00532,TOC.6T.00964,TOC.9T.00780,TOC.6T.00738,TOC.4T.01218,TOC.3T.00254,TOC.6T.00915,TOC.2T.01064,",2.33E-06
Cellular component,apical part of cell,GO:0045177,3,0.027489458,2.213913043,8,115,160,5092,"TOC.1T.02476,TOC.4T.01332,TOC.4T.00223,TOC.2T.00410,TOC.4T.00552,TOC.4T.00532,TOC.3T.00254,TOC.2T.01064,",0.527297785
Cellular component,obsolete intrinsic component of membrane,GO:0031224,0,0.03490649,1.391763848,30,686,160,5092,"TOC.1T.02476,TOC.2T.01834,TOC.1T.01515,TOC.2T.01625,TOC.2T.01623,TOC.2T.01624,TOC.7T.00286,TOC.4T.00402,TOC.3T.02155,TOC.4T.00038,TOC.5T.01632,TOC.3T.00108,TOC.4T.01330,TOC.4T.01332,TOC.7T.01185,TOC.8T.01035,TOC.8T.01036,TOC.3T.01812,TOC.5T.00261,TOC.6T.00345,TOC.4T.01057,TOC.2T.00855,TOC.6T.00121,TOC.6T.00137,TOC.1T.00963,TOC.4T.00532,TOC.4T.00141,TOC.4T.01218,TOC.3T.00254,TOC.6T.00915,",0.350727117
Cellular component,endoplasmic reticulum,GO:0005783,6,0.044092705,1.612753378,15,296,160,5092,"TOC.5T.00581,TOC.8T.00835,TOC.8T.00818,TOC.8T.00819,TOC.1T.01552,TOC.7T.00794,TOC.7T.00286,TOC.3T.02141,TOC.4T.00879,TOC.7T.00034,TOC.4T.01290,TOC.7T.00467,TOC.3T.02093,TOC.1T.01889,TOC.9T.00353,",0.404502643
Biological process,cuticle development,GO:0042335,4,0,6.330137244,35,162,197,5772,"TOC.2T.01430,TOC.2T.01424,TOC.2T.01425,TOC.3T.01526,TOC.4T.00713,TOC.1T.01750,TOC.4T.00702,TOC.6T.00007,TOC.8T.00870,TOC.1T.01552,TOC.1T.00468,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.6T.00801,TOC.4T.01332,TOC.4T.00223,TOC.4T.01290,TOC.7T.01315,TOC.1T.00781,TOC.7T.00467,TOC.2T.01972,TOC.5T.00093,TOC.3T.00053,TOC.1T.01607,TOC.6T.00964,TOC.5T.00431,TOC.2T.01046,TOC.3T.00254,",0
Biological process,chitin-based cuticle development,GO:0040003,5,1.11E-16,8.072309127,27,98,197,5772,"TOC.2T.01430,TOC.2T.01424,TOC.2T.01425,TOC.3T.01526,TOC.4T.00713,TOC.1T.01750,TOC.4T.00702,TOC.6T.00007,TOC.8T.00870,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.8T.00558,TOC.8T.00552,TOC.7T.01336,TOC.8T.00571,TOC.2T.01395,TOC.4T.01356,TOC.4T.00223,TOC.7T.01315,TOC.1T.00781,TOC.2T.01972,TOC.3T.00053,TOC.6T.00964,TOC.5T.00431,TOC.2T.01046,TOC.3T.00254,",9.63E-14
Biological process,cellular ketone metabolic process,GO:0042180,4,2.36E-08,6.925334564,13,55,197,5772,"TOC.5T.00581,TOC.5T.00582,TOC.3T.00672,TOC.4T.00655,TOC.3T.01439,TOC.8T.01039,TOC.5T.01350,TOC.7T.00624,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.7T.00468,TOC.7T.00467,",1.37E-05
Biological process,ecdysteroid metabolic process,GO:0045455,6,4.02E-08,8.263959391,11,39,197,5772,"TOC.5T.00581,TOC.5T.00582,TOC.3T.01439,TOC.8T.01039,TOC.5T.01350,TOC.7T.00624,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.7T.00468,TOC.7T.00467,",1.74E-05
Biological process,steroid metabolic process,GO:0008202,5,3.29E-07,6.857328005,11,47,197,5772,"TOC.5T.00581,TOC.5T.00582,TOC.3T.01439,TOC.8T.01039,TOC.5T.01350,TOC.7T.00624,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.7T.00468,TOC.7T.00467,",1.14E-04
Biological process,hormone metabolic process,GO:0042445,5,8.14E-06,4.62623564,12,76,197,5772,"TOC.5T.00581,TOC.5T.00582,TOC.3T.01439,TOC.8T.01039,TOC.5T.01350,TOC.7T.00624,TOC.4T.01290,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.7T.00468,TOC.7T.00467,",0.002352795
Biological process,regulation of hormone levels,GO:0010817,4,1.52E-05,4.052057458,13,94,197,5772,"TOC.3T.00637,TOC.5T.00581,TOC.5T.00582,TOC.3T.01439,TOC.8T.01039,TOC.5T.01350,TOC.7T.00624,TOC.4T.01290,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.7T.00468,TOC.7T.00467,",0.003760311
Biological process,small molecule metabolic process,GO:0044281,3,1.56E-05,1.97302979,40,594,197,5772,"TOC.5T.00142,TOC.1T.01185,TOC.5T.00581,TOC.5T.00582,TOC.5T.01681,TOC.3T.00672,TOC.1T.01515,TOC.8T.00870,TOC.3T.01903,TOC.1T.00468,TOC.1T.01568,TOC.7T.00286,TOC.7T.00076,TOC.8T.00537,TOC.4T.00655,TOC.4T.00881,TOC.4T.00879,TOC.3T.01439,TOC.9T.00430,TOC.7T.01189,TOC.8T.01039,TOC.4T.00698,TOC.6T.00565,TOC.1T.02348,TOC.5T.01350,TOC.7T.00624,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.6T.01274,TOC.7T.00468,TOC.7T.00467,TOC.1T.00737,TOC.5T.00813,TOC.4T.00141,TOC.5T.00431,TOC.5T.00411,TOC.3T.01113,TOC.3T.02204,TOC.1T.00906,",0.003383452
Biological process,aromatic amino acid metabolic process,GO:0009072,8,1.93E-05,9.766497462,6,18,197,5772,"TOC.5T.01681,TOC.3T.00672,TOC.1T.00468,TOC.4T.00655,TOC.4T.00879,TOC.5T.00813,",0.003720473
Biological process,defense response to Gram-positive bacterium,GO:0050830,8,6.92E-05,7.990770651,6,22,197,5772,"TOC.5T.01681,TOC.1T.01583,TOC.7T.00087,TOC.4T.00813,TOC.5T.00813,TOC.5T.00697,",0.010911476
Biological process,chitin metabolic process,GO:0006030,7,6.92E-05,7.990770651,6,22,197,5772,"TOC.8T.00870,TOC.4T.00223,TOC.7T.00613,TOC.7T.00614,TOC.3T.00053,TOC.3T.00254,",0.010911476
Biological process,amino sugar metabolic process,GO:0006040,5,9.74E-05,6.215043839,7,33,197,5772,"TOC.8T.00870,TOC.7T.00076,TOC.4T.00223,TOC.7T.00613,TOC.7T.00614,TOC.3T.00053,TOC.3T.00254,",0.01299427
Biological process,small molecule catabolic process,GO:0044282,4,1.63E-04,4.013629094,10,73,197,5772,"TOC.1T.01185,TOC.5T.00582,TOC.3T.00672,TOC.4T.00655,TOC.4T.00881,TOC.4T.00879,TOC.7T.01189,TOC.1T.00737,TOC.5T.00411,TOC.3T.02204,",0.015669785
Biological process,obsolete oxidation-reduction process,GO:0055114,0,1.96E-04,2.11607445,26,360,197,5772,"TOC.4T.00080,TOC.5T.00581,TOC.5T.00582,TOC.2T.02323,TOC.5T.01681,TOC.8T.00537,TOC.4T.00655,TOC.4T.00879,TOC.1T.01507,TOC.9T.00430,TOC.7T.01189,TOC.8T.01039,TOC.4T.00698,TOC.5T.01350,TOC.7T.00624,TOC.5T.01338,TOC.5T.01341,TOC.5T.01342,TOC.7T.00467,TOC.1T.00737,TOC.5T.00813,TOC.4T.00141,TOC.3T.00469,TOC.3T.00482,TOC.5T.00411,TOC.1T.00906,",0.017939719
Biological process,multicellular organism development,GO:0007275,4,2.05E-04,1.38512617,85,1798,197,5772,"TOC.1T.02476,TOC.2T.01430,TOC.5T.01238,TOC.5T.00147,TOC.1T.01363,TOC.2T.01424,TOC.1T.00036,TOC.3T.00637,TOC.2T.01425,TOC.5T.00581,TOC.5T.00582,TOC.6T.00416,TOC.3T.01526,TOC.4T.00713,TOC.5T.01073,TOC.1T.01750,TOC.4T.00702,TOC.6T.00007,TOC.8T.00870,TOC.1T.01552,TOC.1T.00465,TOC.1T.00467,TOC.1T.00468,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.7T.00057,TOC.8T.00558,TOC.8T.00552,TOC.2T.02077,TOC.7T.01336,TOC.3T.01053,TOC.4T.00402,TOC.8T.00571,TOC.3T.00571,TOC.2T.01395,TOC.5T.01632,TOC.4T.01356,TOC.3T.01439,TOC.4T.01330,TOC.6T.00801,TOC.4T.01332,TOC.8T.01039,TOC.4T.00223,TOC.4T.00698,TOC.7T.00613,TOC.7T.00614,TOC.5T.01350,TOC.7T.00624,TOC.4T.01290,TOC.5T.01338,TOC.4T.01057,TOC.5T.01341,TOC.5T.01342,TOC.6T.00548,TOC.7T.01315,TOC.1T.00781,TOC.7T.00468,TOC.7T.00467,TOC.6T.01217,TOC.2T.01972,TOC.5T.00093,TOC.7T.00438,TOC.2T.00410,TOC.3T.00053,TOC.2T.01089,TOC.7T.01261,TOC.5T.00854,TOC.4T.00552,TOC.1T.00736,TOC.3T.01152,TOC.3T.01157,TOC.3T.01154,TOC.3T.01158,TOC.6T.00905,TOC.4T.00532,TOC.3T.01167,TOC.1T.01607,TOC.6T.00964,TOC.9T.00780,TOC.6T.00502,TOC.2T.00176,TOC.5T.00431,TOC.2T.01046,TOC.3T.00254,",0.017769084
Biological process,anatomical structure development,GO:0048856,3,2.51E-04,1.344278634,93,2027,197,5772,"TOC.1T.02476,TOC.2T.01430,TOC.5T.01238,TOC.5T.00147,TOC.9T.00023,TOC.1T.01363,TOC.2T.01424,TOC.1T.00036,TOC.3T.00637,TOC.2T.01425,TOC.5T.00581,TOC.5T.00582,TOC.2T.02323,TOC.6T.00416,TOC.3T.01526,TOC.4T.00713,TOC.5T.01073,TOC.1T.01750,TOC.4T.00702,TOC.6T.00007,TOC.8T.00870,TOC.1T.01552,TOC.1T.00465,TOC.1T.00467,TOC.1T.00468,TOC.1T.00231,TOC.3T.01490,TOC.3T.01492,TOC.8T.00564,TOC.7T.00057,TOC.8T.00558,TOC.8T.00552,TOC.2T.02077,TOC.7T.01336,TOC.9T.00643,TOC.3T.01053,TOC.4T.00402,TOC.8T.00571,TOC.3T.00571,TOC.2T.01395,TOC.5T.01632,TOC.4T.01356,TOC.3T.01439,TOC.4T.01330,TOC.6T.00801,TOC.4T.01332,TOC.8T.01039,TOC.4T.00223,TOC.4T.00698,TOC.7T.00613,TOC.7T.00614,TOC.5T.01350,TOC.7T.00624,TOC.4T.01290,TOC.5T.01338,TOC.4T.01057,TOC.5T.01341,TOC.5T.01342,TOC.6T.00548,TOC.5T.00463,TOC.7T.01315,TOC.1T.00781,TOC.7T.00468,TOC.7T.00467,TOC.6T.01217,TOC.2T.01972,TOC.5T.00093,TOC.7T.00438,TOC.2T.00410,TOC.3T.00053,TOC.2T.01089,TOC.7T.01261,TOC.5T.00854,TOC.4T.00552,TOC.1T.00736,TOC.3T.01152,TOC.3T.01157,TOC.3T.01154,TOC.3T.01158,TOC.6T.00905,TOC.4T.00532,TOC.3T.01167,TOC.1T.01607,TOC.6T.00964,TOC.9T.00780,TOC.6T.00502,TOC.2T.00176,TOC.5T.00431,TOC.2T.01046,TOC.3T.00254,TOC.2T.01073,TOC.3T.01113,TOC.2T.01064,",0.020751436
