Not_Use,Generation,Order_by_Cross_Type,Off_Sex,Prop,Pair_ID,Female,Male,Mother,Father,Parental_genotype,Parental_phenotype,Mother_genotype,Cross_Type,Off_M,Off_Lw_M,Off_Sw_M,Off_F,Off_Lw_F,Off_Sw_F,Prop.Sw.M,Prop.Sw.F,Note
N,F4-F5,4,M,0.8,71,A2_F4,A2_SW5,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),5,1,4,10,7,3,0.8,0.3,
N,F4-F5,4,M,0.4,113,A_F13,A2_SW7,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),10,6,4,5,4,1,0.4,0.2,
N,F4-F5,4,M,0.5,133,A2_F15,X_SW8-2,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),14,7,7,13,8,5,0.5,0.38,
N,F4-F5,4,M,0,31(3),B_F15,X_SW2,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),13,13,0,14,7,7,0,0.5,
N,F4-F5,4,M,0.58,127,A2_F12,A2_SW10,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),12,5,7,9,8,1,0.58,0.11,
N,F4-F5,4,M,0.83,91,B_F8_1,X_SW6,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),11,6,5,11,7,4,0.83,0.36,
N,F4-F5,4,M,0.27,7,B_F7,X_SW1,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),14,11,3,8,5,3,0.27,0.38,
N,F4-F5,4,M,0.47,48,A2_F2,A2_NW1,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),19,10,9,20,20,0,0.47,0,
N,F4-F5,4,M,0.36,69,A4_F4,X_SW5,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),25,16,9,8,6,2,0.36,0.25,
N,F4-F5,4,F,0.67,22,A_F8,B2_SW3,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),5,3,2,3,1,2,0.4,0.67,
Y,F4-F5,4,F,0.5,104,A2_F10,A_SW10,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),6,1,5,2,1,1,0.83,0.5,One of sex N <3
N,F4-F5,4,F,0.5,61(2),A_F9,A_SW3,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),8,4,4,4,2,2,0.5,0.5,
N,F4-F5,4,F,0.38,87,A_F14,A1_SW4,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),5,1,4,8,5,3,0.8,0.38,
N,F4-F5,4,F,0.71,85,A2_F6,A1_SW2,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),6,3,3,7,2,5,0.5,0.71,
N,F4-F5,4,F,0.43,121,X_F17,A4_2_SW2,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),15,5,10,7,4,3,0.67,0.43,
N,F4-F5,4,F,0.2,45,B_F7,A2_SW3,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),11,5,6,5,4,1,0.55,0.2,
N,F4-F5,4,F,0.3,71,A2_F4,A2_SW5,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),5,1,4,10,7,3,0.8,0.3,
N,F4-F5,4,F,0.2,113,A_F13,A2_SW7,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),10,6,4,5,4,1,0.4,0.2,
N,F4-F5,4,F,0.38,133,A2_F15,X_SW8-2,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),14,7,7,13,8,5,0.5,0.38,
N,F4-F5,4,F,0.5,31(3),B_F15,X_SW2,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),13,13,0,14,7,7,0,0.5,
N,F4-F5,4,F,0.11,127,A2_F12,A2_SW10,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),12,5,7,9,8,1,0.58,0.11,
N,F4-F5,4,F,0.36,91,B_F8_1,X_SW6,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),11,6,5,11,7,4,0.83,0.36,
N,F4-F5,4,F,0.38,7,B_F7,X_SW1,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),14,11,3,8,5,3,0.27,0.38,
N,F4-F5,4,F,0,48,A2_F2,A2_NW1,Lw,Lw,XL x XLXs,Lw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),19,10,9,20,20,0,0.47,0,
N,F4-F5,4,F,0.25,69,A4_F4,X_SW5,Lw,Sw,Xs x XLXs,Sw(M) x Lw(F),Lw_HE,Sw(M)-Lw(F)(Hete),25,16,9,8,6,2,0.36,0.25,
N,F4-F5,5,M,1,78,A2_SW_F1,B_NW13,Sw,Lw,XL x XsXs,Lw(M) x Sw(F),Sw,Lw(M)-Sw(F),9,0,9,7,7,0,1,0,
N,F4-F5,5,M,1,149,A2_SW_F4,B_NW9,Sw,Lw,XL x XsXs,Lw(M) x Sw(F),Sw,Lw(M)-Sw(F),28,0,28,22,22,0,1,0,
N,F4-F5,5,F,0,78,A2_SW_F1,B_NW13,Sw,Lw,XL x XsXs,Lw(M) x Sw(F),Sw,Lw(M)-Sw(F),9,0,9,7,7,0,1,0,
N,F4-F5,5,F,0,149,A2_SW_F4,B_NW9,Sw,Lw,XL x XsXs,Lw(M) x Sw(F),Sw,Lw(M)-Sw(F),28,0,28,22,22,0,1,0,
N,F4-F5,6,M,1,51,A2_SW_F1,X_SW4,Sw,Sw,Xs x XsXs,Sw(M) x Sw(F),Sw,Sw(M)-Sw(F),6,0,6,4,0,4,1,1,
N,F4-F5,6,M,1,143,A3_SW_F1,A4_1_SW8,Sw,Sw,Xs x XsXs,Sw(M) x Sw(F),Sw,Sw(M)-Sw(F),19,0,19,18,0,18,1,1,
N,F4-F5,6,M,1,136,A2_SW_F2,A1_SW12,Sw,Sw,Xs x XsXs,Sw(M) x Sw(F),Sw,Sw(M)-Sw(F),27,0,27,28,0,28,1,1,
N,F4-F5,6,M,1,148,A2_SW_F5,A2_SW13,Sw,Sw,Xs x XsXs,Sw(M) x Sw(F),Sw,Sw(M)-Sw(F),23,0,23,13,0,13,1,1,
N,F4-F5,6,F,1,51,A2_SW_F1,X_SW4,Sw,Sw,Xs x XsXs,Sw(M) x Sw(F),Sw,Sw(M)-Sw(F),6,0,6,4,0,4,1,1,
N,F4-F5,6,F,1,143,A3_SW_F1,A4_1_SW8,Sw,Sw,Xs x XsXs,Sw(M) x Sw(F),Sw,Sw(M)-Sw(F),19,0,19,18,0,18,1,1,
N,F4-F5,6,F,1,136,A2_SW_F2,A1_SW12,Sw,Sw,Xs x XsXs,Sw(M) x Sw(F),Sw,Sw(M)-Sw(F),27,0,27,28,0,28,1,1,
N,F4-F5,6,F,1,148,A2_SW_F5,A2_SW13,Sw,Sw,Xs x XsXs,Sw(M) x Sw(F),Sw,Sw(M)-Sw(F),23,0,23,13,0,13,1,1,
N,F10-F11,1,M,0,108,B3_Lw_F8,B4_Lw_M6,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),25,25,0,11,11,0,0,0,
N,F10-F11,1,F,0,108,B3_Lw_F8,B4_Lw_M6,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),25,25,0,11,11,0,0,0,
N,F10-F11,1,M,0,119,B3_Lw_F19,B3_Lw_M15,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),8,8,0,9,9,0,0,0,
N,F10-F11,1,F,0,119,B3_Lw_F19,B3_Lw_M15,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),8,8,0,9,9,0,0,0,
N,F10-F11,1,M,0,125,B4_Lw_F18,B3_Lw_M13,Lw,Lw,XL x XLXL,Lw(M) x Lw(F),Lw_Homo,Lw(M)-Lw(F)(Homo),56,56,0,48,48,0,0,0,
